"","tool","forecastMonth","mean","std"
"1","A",1,0.374510679931344,1.12674476871514
"2","A",2,0.612153851419752,1.65081401149234
"3","A",3,0.389513231876164,1.81112901376732
"4","B",1,0.53198741671132,6.86715257188526
"5","B",2,0.810338145995376,7.86019009718158
"6","B",3,0.118509955240092,3.56144326038503
"7","C",1,0.436434608196786,1.12800606926238
"8","C",2,0.643551429322884,1.21057498855095
"9","C",3,0.43051363059231,1.35149920689967
