"","tool","forecastMonth","monthlyModel","quarterlyModel","halfAnnualModel","annualModel","ensembleModel"
"1","A",1,1.82468513594479,2.99426549436944,3.09902194287037,3.06887403551605,2.1384720881679
"2","A",2,2.50785687439328,3.2830480388728,3.22114616194946,3.39603308941108,2.44032557637241
"3","A",3,2.48076997262957,3.3751162163105,3.20962949612747,3.40594046077976,2.44776065004087
"4","B",1,14.3996692325639,22.6166376761309,22.7157677095771,20.33392934298,15.6174783592672
"5","B",2,16.8254533371966,23.6267305954132,24.5001223213693,21.1036456568406,16.8437814994987
"6","B",3,17.9780364536547,24.4749410847115,24.4570485122021,19.4286891698719,16.9490805745731
"7","C",1,2.64379129402932,4.22476247025298,3.99146158058826,3.87119112315916,2.85250592822761
"8","C",2,3.3434997960676,4.37341988937181,4.27933104603251,4.01181962356677,3.14453028020029
"9","C",3,2.98823389938252,4.44488726143006,4.24267798906,4.06704559722179,3.08763370779442
