"","tool","forecastMonth","monthlyModel","quarterlyModel","halfAnnualModel","annualModel","ensembleModel"
"1","A",1,1.41480177776164,1.4141323675799,1.46873882753529,1.45104674145914,0.922766245536244
"2","A",2,2.44955740834975,2.17003432687555,1.53777248400729,1.73565398944577,1.36662857845601
"3","A",3,2.60850470467661,2.17050765019159,1.76429695070566,2.68602548081774,1.43054891791
"4","B",1,13.8000307607993,7.53853544524861,7.86889395844783,10.2311962160408,6.27855908851525
"5","B",2,10.8306595690162,8.33590935888799,8.92592760399767,11.7859141714352,6.42684263369159
"6","B",3,6.75998670932518,10.3936870084901,7.7766036305374,4.98796361741518,3.37495031030856
"7","C",1,1.2847690714247,1.58832539659372,1.30467125212838,1.72128030613221,0.940926523382176
"8","C",2,1.80419713080826,2.01772029968764,2.06608009910601,1.4882594541336,1.06791783700782
"9","C",3,1.89636993181517,1.57266747651738,1.89914267787896,1.3527156392822,1.09732014730989
