"date","rmse"
2016-04-25,1.44391049171958
2015-12-29,2.59978303413374
2015-01-07,1.76435137309483
2015-09-02,2.0113442725084
2015-01-22,1.75321212236543
2015-04-25,1.9024738676225
2016-01-25,1.14759953220244
2015-05-09,1.90360428468296
2015-01-05,1.76817842019196
2015-10-16,2.32358799296164
2015-03-15,2.1275475402854
2015-06-19,1.39866537975761
2015-08-20,2.39146571698359
2015-05-06,2.18008938306024
2015-11-22,1.1822601714672
2016-04-24,1.45702919884582
2015-10-20,2.36587082491338
2015-09-20,1.49887043595989
2015-04-15,1.91979669285115
2016-01-14,1.39046947825003
2016-01-01,2.34336546430288
2015-07-31,1.56378591105134
2015-08-18,2.39684328429482
2016-01-07,1.62256861226414
2015-09-15,1.0248285641389
2015-09-13,1.294165325886
2015-08-12,2.07214266372604
2015-01-06,1.76787007540502
2015-04-17,1.85102889837237
2015-11-14,1.61975636316908
2016-04-27,1.40383337866081
2016-04-05,1.72195709259545
2015-01-23,1.73602723699579
2015-11-29,1.37427246742447
2015-02-17,1.68701139545026
2015-04-21,1.64969059854257
2015-02-28,2.31419988318249
2015-10-02,1.29154654159678
2015-01-20,2.07614659111615
2016-04-11,1.79474530572562
2015-11-26,1.40934513329627
2016-02-20,1.54700372439774
2015-06-29,1.28808161082932
2015-11-01,2.43041262955807
2015-07-29,1.71204079302112
2015-01-01,1.93098923550431
2015-10-21,2.35846949104808
2015-09-12,1.41933971830722
2015-05-04,2.25759237191132
2016-04-14,1.19957926907764
2016-02-17,1.60925480142675
2015-11-08,2.06972524304607
2015-07-30,1.55324319670479
2016-04-22,1.37434823927364
2015-02-06,1.92780230620999
2016-02-23,1.56919710933575
2015-08-17,2.40737924543313
2015-08-06,1.9700311435825
2015-06-03,1.70267396119857
2015-02-18,1.68786592027376
2015-05-01,2.67473462664258
2015-09-29,1.51281633142973
2015-11-19,1.33511918468718
2015-08-29,2.28636548000161
2016-04-28,1.2859095030445
2015-04-11,2.06100628906702
2015-10-29,2.46123388455066
2015-05-14,1.27017811985045
2016-02-24,1.58578890612719
2015-10-28,2.43360842746847
2015-12-26,2.60871167178991
2015-10-08,1.94216678385908
2016-02-01,1.20359086481402
2015-11-27,1.43925788075973
2016-04-13,1.42620330125304
2016-04-09,1.77556709236829
2015-12-20,2.63293033203458
2016-02-10,1.3520516864298
2015-09-16,1.11855109218624
2015-12-05,1.26378829711432
2015-12-30,2.48029221444891
2015-04-23,1.79019398469345
2015-07-21,2.00625833282334
2015-01-18,1.93548313425989
2015-06-25,1.07715740066017
2015-01-28,1.80588043614443
2015-05-17,1.19573725640652
2016-02-29,1.68344960393804
2015-10-31,2.43625243738834
2015-01-08,1.7641648612004
2016-04-18,1.20245770119447
2016-01-12,1.65586311689544
2015-07-16,1.97995986541925
2015-10-25,2.43325874517258
2015-08-10,1.968207513475
2016-02-22,1.55247938076503
2015-10-27,2.43546144161217
2015-04-02,2.53935138408698
2015-09-21,1.49395025525697
2015-09-28,1.54099233781389
2015-01-11,1.83908704593453
2015-08-01,1.5751101992533
2015-07-24,2.01446500755848
2016-02-15,1.67794842450989
2015-07-23,1.98696018927606
2015-08-25,2.2574048956063
2015-08-14,2.22428481093618
2015-05-31,1.89018821732261
2015-11-12,1.64618020409207
2015-09-05,1.78257617935725
2015-08-09,1.96229334327943
2015-06-20,1.32131312181927
2016-02-18,1.57348077022463
2015-08-23,2.33633535729009
2015-10-23,2.44614237187914
2015-08-27,2.23909494631495
2015-06-11,1.56155022787525
2015-03-12,2.34341543357551
2016-01-11,1.52943645655356
2015-09-27,1.53802029011503
2015-10-03,1.3602635129375
2016-02-19,1.57244329742302
2015-03-18,1.92372267962087
2016-01-02,2.21290051301206
2015-03-22,2.38867016637312
2015-02-23,1.85406688930761
2015-09-30,1.44920484204649
2015-06-09,1.61890435508062
2015-12-07,1.34785290492888
2015-12-08,1.51802794495177
2015-06-10,1.65720812952238
2015-10-05,1.37254151940705
2015-07-11,1.96246967439836
2015-03-17,1.9019428384195
2015-11-07,2.28306217316157
2016-01-04,2.1115435985054
2016-04-19,1.29299278373087
2016-04-20,1.39966349568701
2015-03-11,2.30754695636661
2015-07-07,2.02834911026668
2015-12-18,2.44704614011955
2015-07-03,1.82341088498514
2015-01-14,1.78214507393769
2016-02-26,1.6170703940605
2015-11-05,2.523633257583
2015-02-15,1.68617594080287
2015-03-14,2.22516804019494
2016-04-02,1.82445785804838
2016-04-26,1.42196657678246
2015-02-25,2.01041447444347
2015-07-20,2.01619387642611
2015-11-30,1.40473206852953
2015-03-05,2.18625993490824
2015-02-07,1.81600494599947
2015-11-28,1.37618740963088
2015-07-02,1.69555283314103
2015-04-03,2.37696700083117
2015-03-10,2.32219227231307
2015-01-12,1.92930610845435
2015-03-06,2.23159074941356
2015-08-19,2.3941804984447
2015-06-15,1.54273014793398
2015-03-21,2.38301194467724
2015-08-11,2.00811757030057
2015-12-31,2.38455216535423
2015-11-13,1.61269604223726
2015-07-04,1.92876205053421
2015-06-14,1.54333823493738
2015-12-11,1.80715601646293
2015-07-14,1.96452997919437
2015-01-04,1.75488044507675
2016-02-06,0.909227886297445
2015-06-12,1.52618878237584
2015-09-09,1.52233714306016
2015-10-09,2.24929835316555
2015-01-03,1.83259364112121
2015-03-27,2.35248767801114
2015-07-05,1.97673029537354
2016-01-16,1.3412527879761
2016-01-09,1.69379833891914
2016-02-04,0.946994453183131
2015-09-14,1.1697315449262
2015-03-04,2.19681912995831
2016-04-10,1.78956395366849
2015-02-16,1.68546598340204
2016-02-03,0.976728739508402
