"date","rmse"
2015-03-14,3.00867322693586
2015-01-16,3.33567949995802
2016-01-13,2.95573232097955
2015-04-14,2.78132673397888
2015-03-15,3.20849201692136
2016-05-23,2.32080386466411
2016-02-22,1.76969646392872
2016-06-18,4.06649397632595
2016-02-26,1.75646229648133
2015-06-11,2.19855714017305
2015-05-16,2.69957532702672
2015-03-26,3.30532829517181
2015-06-30,3.3052772293387
2015-04-21,2.97868598130345
2015-09-26,2.59510478033937
2015-07-02,3.66744029798978
2015-08-05,2.62719877302391
2016-01-05,2.6919334867784
2016-01-01,2.52125109377425
2015-07-15,3.49421450417751
2015-12-11,3.19426679397803
2015-04-20,2.71883935339745
2015-02-12,3.19645258344423
2015-06-04,2.06391211170996
2016-07-10,2.7962992170595
2015-04-19,2.77206016879656
2016-05-15,2.65281412310337
2015-11-12,3.00091808925095
2015-06-13,2.14791652924808
2016-01-27,3.13001844200402
2015-04-06,3.14235497096015
2015-09-23,2.51562378800029
2016-06-26,3.5938239102362
2015-06-19,2.59743021777764
2015-01-23,2.42911662106831
2016-04-12,2.76553394258428
2015-07-16,3.37448033145267
2016-07-11,2.83091841785052
2015-11-01,2.53439907199832
2016-05-19,1.72148960944575
2015-07-05,3.30218849039905
2015-05-26,2.32399256753142
2016-01-15,2.98151957820664
2015-01-24,2.42925561486813
2015-03-01,2.72666909644702
2015-05-07,2.67661049408369
2016-04-29,3.09371420855672
2016-05-18,2.77631166464734
2015-08-23,2.37089770106433
2015-04-08,3.42112594500882
2016-04-24,3.12387960685902
2015-07-27,3.74695269936883
2015-04-28,2.18062951904356
2016-02-13,2.28567778606972
2015-12-09,3.28936822372014
2016-04-16,2.85035967992022
2016-05-26,2.01710073259451
2016-05-11,2.6079506785722
2016-01-21,3.1912855433312
2015-12-26,2.60303293312431
2015-09-04,2.01450363249646
2016-05-20,2.24954015531754
2015-11-18,1.91102633967468
2015-10-03,2.98078132720747
2015-08-19,2.54774025028912
2015-05-04,2.67047598248936
2015-08-21,2.61458589605762
2015-05-24,2.41096853058942
2015-05-27,2.50410947496391
2015-05-02,2.47996220721523
2015-03-31,3.12869063091706
2015-03-03,2.77269703446403
2015-04-30,2.31423402228267
2015-10-09,2.9339198014664
2015-05-25,2.35151593342556
2015-06-08,2.2553055669696
2016-02-01,3.03512547216115
2015-05-13,2.67679880939732
2015-08-27,2.52141055260053
2016-04-23,2.538643094289
2015-07-04,3.41876989612583
2016-05-12,2.50175959452128
2016-01-14,2.98666524592334
2016-04-15,2.48963442946899
2015-03-06,2.5209061208727
2015-01-17,2.80732300962927
2015-11-21,2.35063703319421
2015-04-05,3.06997521314116
2015-01-29,3.03372925820403
2016-05-22,2.16487727946403
2015-02-04,3.11189044674414
2015-08-30,1.93904237496118
2016-04-02,1.91217227109545
2015-05-23,2.40812860725968
2015-03-22,3.46293028690613
2016-01-25,3.1904974469352
2015-09-21,2.42319751011627
2015-11-17,1.76646943197101
2015-02-09,3.94687680049089
2015-02-27,2.70172859084279
2015-08-10,2.63914002515736
2016-01-02,2.59300939341947
2016-01-31,2.78196194415013
2016-05-10,2.5207154586372
2015-09-29,2.65333807390283
2015-09-01,1.96090399676895
2015-04-12,2.72684987650318
2015-06-12,2.22497027285249
2015-09-13,2.31628829634079
2015-12-23,2.44536018935233
2016-04-28,2.66901274470788
2016-05-08,2.62279826904745
2016-05-06,2.88301031923127
2016-07-05,2.67012010051373
2015-02-23,3.58828995219016
2015-07-26,3.56015652958818
2016-06-06,2.70232156651469
2015-02-14,3.59055079964615
2016-02-05,3.44746059104528
2015-06-29,3.18535528380351
2015-08-29,2.35158971535973
2015-09-20,2.51075509213815
2015-10-16,2.76756628738045
2016-01-07,2.67249355499822
2016-01-12,2.79148367671714
2016-06-23,3.22698680014081
2016-06-10,3.12093056319481
2015-07-23,3.40477137156355
2015-03-02,2.69613701257907
2016-02-08,2.86927379813958
2015-11-07,2.55699518549505
2015-01-06,3.18230003911443
2015-11-02,2.52877912822951
2015-09-06,2.06571584737538
2015-02-16,3.76242154684385
2015-07-10,3.34469058262469
2016-01-29,3.18391042879555
2016-04-11,2.41280936049746
2016-04-27,3.25383432812991
2016-06-29,3.62590267131562
2015-06-17,2.55586632943833
2016-07-01,3.06442020095983
2016-05-03,2.64756335684719
2015-01-28,3.10155642435666
2016-02-28,1.90594531920408
2015-06-28,2.92553432870978
2015-08-12,2.67401946090106
2016-06-13,3.35639086145646
2015-01-18,3.13962973796772
2015-09-09,1.94931271698742
2016-04-10,2.55790834753789
2015-03-11,3.02607846128604
2015-10-15,2.84878613723482
2015-10-26,2.72240756888736
2015-08-06,2.65541907236159
2015-06-26,3.06353223017624
2015-03-05,2.54739570071976
2015-04-13,2.70864480846061
2015-01-02,3.48391567435468
2015-10-22,2.64535326557129
2016-04-13,3.4398799204217
2016-02-06,3.40780914390486
2015-12-07,3.2302725394069
2015-06-15,2.33871158091987
2015-04-15,2.90316377071096
2016-02-24,2.17971443425008
2015-05-08,2.68875578761188
2015-09-25,2.63088289556674
2015-06-07,2.20100195806767
2015-02-24,3.28398289097843
2016-06-25,3.5939954785703
2015-10-02,2.63981959071242
2015-08-02,3.01320439385905
2016-01-06,2.77154261901979
2016-04-09,2.28935265597222
2015-02-19,3.70869357885941
2015-05-31,2.29348487657769
2015-06-02,1.88009086684893
2015-05-17,2.43263954082313
2015-05-22,3.0631565557914
2015-12-17,3.08189780354496
2015-04-27,2.21528792677491
2016-02-29,1.7706267387699
2015-07-21,3.75649822736203
2015-07-29,2.72418226996722
2016-05-31,2.36439342269756
