"date","rmse"
2015-05-20,2.16977272989073
2015-01-10,2.66013476570594
2015-12-14,2.49755050263648
2016-04-29,1.93821198088287
2016-01-30,2.66871943767607
2015-06-25,2.76538816558679
2015-12-12,2.50636469031141
2016-04-16,1.82327567022109
2015-10-08,2.71521454101219
2015-06-27,2.8488495185769
2015-12-04,2.5221605930055
2015-08-16,2.66878400156412
2016-02-12,2.14185557988898
2016-01-02,2.01092896385405
2015-07-02,3.64948334790328
2015-03-19,3.28437993563336
2015-11-01,2.45510300681515
2015-03-12,2.95595470175982
2015-04-21,2.61845362051338
2015-04-30,2.23304394679836
2015-03-07,2.54960682971887
2015-06-01,2.74920111102509
2015-01-07,2.56918145252047
2016-01-21,2.55395356011313
2015-04-15,2.23994687142176
2015-03-02,2.54906323669508
2015-09-27,2.58106024940756
2015-05-10,2.55490029791924
2015-08-31,1.95582570280902
2015-02-09,2.18288912337249
2015-06-02,2.34297182052507
2015-11-09,2.30512846911625
2015-03-01,3.57403855923984
2016-01-31,2.71471510858004
2015-10-04,2.76432967374671
2015-04-13,2.71405674157486
2015-02-15,1.97082242587288
2015-05-01,4.55363875446696
2015-08-05,2.61246185553643
2016-01-04,2.01034705885535
2015-10-22,2.70558335215363
2016-02-21,2.04094007208002
2015-07-26,3.17262128721772
2015-08-04,2.61605410291682
2015-02-18,2.11321438760817
2015-07-29,3.01790774637059
2015-03-31,3.04503244743138
2016-04-04,1.7897172449067
2015-11-29,2.5068320181152
2015-09-26,2.61060774337293
2015-09-07,1.92826289520425
2015-05-08,2.67214625613712
2015-08-01,3.86295333900388
2015-01-03,2.63586308890686
2016-02-24,1.9198191595752
2015-01-13,2.68294325695526
2015-09-25,2.5575820415083
2015-04-23,2.38227308232177
2015-06-05,2.11222427947846
2015-10-01,2.97666050357386
2015-07-14,3.38727817104568
2015-04-10,2.93505347815901
2015-05-31,2.21733925849907
2015-03-08,2.583318060726
2015-06-06,2.21229641242006
2015-09-22,2.49397508273598
2015-02-03,2.70511157615103
2015-09-03,1.98396490056681
2016-02-07,2.23450933315773
2015-03-29,3.07139907678643
2016-01-17,2.31326787305294
2016-04-23,2.02594555783063
2015-01-14,2.68881891813773
2015-10-27,2.63905650632191
2015-05-14,2.52930457574887
2015-03-23,3.31703261982553
2015-07-16,3.3118059911018
2015-01-30,2.75863149250902
2015-09-08,1.8863330498204
2015-07-17,3.22851875379415
2015-11-03,2.47191370966041
2016-01-13,2.10836505128686
2015-11-25,2.33360466311174
2016-01-14,2.16297651733376
2015-10-21,2.657740359485
2016-04-09,2.09295304882161
2015-10-09,2.73404098992909
2015-03-24,3.17283848112355
2015-11-21,1.90344000017311
2015-11-08,2.40192785738505
2015-04-12,2.76271050304795
2016-04-21,2.13520568154281
2015-02-02,3.14318030218687
2015-08-02,2.67443962639077
2016-01-22,2.65207665276802
2015-09-16,2.19738131216929
2015-09-02,1.97563587525444
2015-10-15,2.48785784169549
2015-12-08,2.51771983269748
2015-05-18,2.40874166921495
2015-10-25,2.62478240983223
2015-01-23,2.42578897916285
2015-07-23,3.23002286035757
2015-07-30,2.90448577043688
2015-12-31,2.11187453027186
2015-06-10,2.22228052118156
2015-06-08,2.2691904220865
2015-04-28,2.20486292850362
2015-09-29,2.5992505540269
2015-06-12,2.18290983605064
2015-03-21,3.30006239224957
2015-01-24,2.46489788187154
2015-03-11,2.92103373644845
2015-08-09,2.62975874058165
2016-04-25,2.0339300739796
2015-10-13,2.52203497624697
2015-10-26,2.61706753861206
2016-01-10,1.98659420419178
2015-02-28,2.48766694637312
2015-07-21,3.28321892373652
2015-09-20,2.45839317460706
2015-02-17,2.19252524248928
2015-12-22,2.68159743450946
2016-04-05,1.78593119079226
2015-08-30,2.08557842827504
2015-06-18,2.44637994141486
2015-11-12,2.10235491182776
2015-03-20,3.26854765624787
2015-06-20,2.68098361317484
2015-05-22,1.94949677952824
2015-01-31,2.75152428198463
2015-03-26,3.11381414691883
2015-12-30,2.25304919592568
2015-02-16,2.21374248668201
2016-02-05,2.21962390842703
2015-11-16,2.02382114685846
2016-04-17,1.82323724265364
2016-04-07,1.82635676985967
2015-04-24,2.37064718917017
2015-11-11,2.17079604263975
2015-02-20,2.11714065115078
2016-02-25,1.84620328288532
2015-01-17,2.6211696512147
2015-03-27,3.0138148483644
2016-02-29,1.8674448008768
2016-04-26,2.05709353955757
2015-04-22,2.52499714861115
2015-03-28,3.03961522403978
2016-02-19,2.06776209541862
2015-04-25,2.37240353360319
2015-06-21,2.75809379256499
2015-02-07,2.45272425319979
2015-01-02,2.89821163019021
2016-02-10,2.18479613526519
2015-05-04,2.78394113497396
2015-06-16,2.40214862873574
2015-12-06,2.60106828294324
2015-07-08,3.35104100121584
2015-08-08,2.61976049162153
2015-12-19,2.85564969423102
2016-02-13,2.12827318522393
2015-08-29,2.21624567654188
2015-12-09,2.48794019450122
2015-11-06,2.498723647931
2015-07-13,3.38728923147776
2015-06-13,2.16814195144392
2015-04-19,2.4913255991569
2016-02-26,1.88016142704731
2015-11-07,2.40304754321949
2016-04-02,1.78787550665269
2015-09-23,2.51119695534268
2015-04-04,2.98099065345692
2015-06-28,2.97379561290664
2015-03-15,3.34503850955202
2015-11-24,2.33253001047735
2016-02-16,2.11931444532288
2015-09-01,1.95787743349778
2015-10-31,2.48621110689656
2015-05-28,1.98728554055097
2015-01-26,2.79568612169057
2015-05-21,2.16556898478642
2015-10-19,2.626770369061
2015-11-30,2.59775211724157
2016-01-26,2.65698353116987
2015-12-18,2.75868493343783
2015-08-19,2.38056205511352
