"date","rmse"
2015-05-06,2.21368629038599
2015-12-20,2.61023051062329
2016-04-07,1.75363732717708
2015-02-10,1.64472404333382
2016-04-29,1.32266860692182
2015-10-07,1.69927408253056
2015-09-25,1.54467039845001
2015-09-03,1.86820396723555
2015-03-16,1.92372842467201
2015-09-24,1.53273866052718
2015-04-14,1.91537582341231
2015-12-17,2.58169102090911
2016-04-26,1.40183252761128
2015-06-25,1.08553943922815
2015-11-12,1.57936668415644
2015-01-09,1.76416651041195
2015-12-03,1.33304451861974
2015-11-18,1.47393080589709
2015-09-18,1.30058043589578
2015-01-05,1.76847425255813
2015-03-01,2.16170450554153
2015-11-24,1.24139209802787
2015-08-25,2.26396930199738
2015-11-23,1.22637895821509
2015-12-01,1.37959020310916
2015-02-02,2.43053930873989
2015-07-05,2.00638608080563
2016-01-06,2.19698218320419
2015-01-01,2.50263586750155
2016-04-14,1.13427665786103
2016-01-19,1.1910933344886
2015-07-16,2.04607703308715
2015-10-12,2.81342625191793
2015-10-18,2.46069700953639
2015-08-05,1.84009761367746
2015-01-07,1.76844163191664
2015-08-20,2.44047936041774
2015-07-30,1.51542705796012
2015-01-28,1.81653756028158
2015-01-24,1.75259535835034
2015-05-14,1.15619214568742
2015-01-22,1.7904432091943
2015-11-26,1.44447584570683
2015-04-23,2.02846022893775
2015-11-20,1.29453778061573
2015-03-17,1.78612136070138
2016-01-22,1.17703789789677
2015-09-05,1.69207528984607
2015-06-10,1.73555558397508
2015-07-25,2.05181529738174
2015-10-05,1.49041197945092
2016-04-18,1.27407786740617
2015-10-31,2.46088847440464
2015-08-02,1.73520267591518
2015-12-04,1.25965729038852
2015-08-11,2.0187781821944
2015-03-29,2.56074236575159
2015-12-19,2.65223071387268
2016-02-05,0.976207891999693
2015-02-15,1.68792265788007
2015-06-17,1.40503537904201
2015-09-16,1.03306565677977
2015-12-23,2.6753708220514
2015-09-30,1.45446367305822
2015-02-17,1.6868856223951
2015-07-02,1.68886175804681
2016-04-15,1.09340683402651
2015-01-06,1.76754501278443
2015-01-17,1.90948463037924
2016-04-12,1.80831149963117
2016-04-06,1.76601163109569
2016-02-29,1.70063967608894
2015-03-27,2.37301446230753
2015-04-20,1.97923900140073
2016-01-28,1.17589078890222
2015-05-02,2.46005802221952
2015-03-18,1.85308844028375
2015-12-14,2.34328016098198
2015-06-26,1.18826766838049
2015-09-19,1.4173757035183
2015-03-30,2.54546662250746
2015-10-06,1.50955123897446
2015-09-09,1.53730444463986
2015-12-09,1.87612032222646
2015-10-25,2.43949990386032
2015-05-05,2.28172371530879
2015-11-16,1.57482691999429
2015-12-22,2.87479585272086
2015-05-28,1.84739602377101
2016-04-11,1.92204229276211
2015-10-13,2.93923576838485
2015-02-09,1.63304777189868
2015-02-27,2.03490195355674
2016-01-08,2.15609522530229
2015-03-20,2.3406525851384
2015-08-23,2.34581473146213
2015-12-25,2.59006326671203
2015-11-07,2.27359783641716
2015-10-15,3.05096374375225
2016-01-11,1.79296419616163
2015-12-07,1.38477200529813
2016-02-27,1.7188956202218
2015-07-03,1.82545057594413
2016-04-05,1.71283694748604
2015-09-17,1.12686501214728
2015-01-15,1.84222716221155
2016-02-28,1.72747070032854
2015-03-15,2.08479996330534
2015-06-04,1.72208224561495
2015-02-14,1.67630635004049
2015-11-09,1.83592149890903
2015-06-28,1.25081366284578
2015-12-30,2.26910408578159
2016-01-12,2.03610623979128
2015-02-08,1.77744497405099
2016-04-20,1.4284779788275
2016-02-18,1.67335065983234
2015-07-10,2.01193818602189
2015-06-01,1.91378215365502
2015-07-07,2.06144945180146
2015-04-10,2.02480495421322
2015-01-25,1.73210679978992
2015-01-19,2.00516066244987
2015-03-24,2.56771741064777
2015-07-28,1.84489265666489
2016-04-09,1.8630267526098
2016-02-11,1.47364088457837
2015-07-04,1.95053462310355
2015-09-28,1.55200925810764
2015-11-14,1.54661977829973
2015-06-13,1.54063450302349
2015-10-29,2.4798985823733
2015-04-27,2.19214931166432
2016-01-09,2.19294824418714
2015-08-26,2.24111661586534
2015-12-29,2.48689249783408
2016-01-27,1.15104318893232
2015-03-12,2.32000246312948
2015-09-06,1.53466704161283
2016-01-01,2.1797014144636
2015-07-01,1.60717528800597
2015-02-01,7.21108430843425
2015-06-08,1.68088889989353
2015-04-19,2.06951223928979
2016-04-17,1.19417085225221
2015-06-02,1.95246167996207
2016-02-08,1.07063996923155
2016-01-17,1.37276330838734
2015-03-08,2.36039675265193
2015-07-21,2.05531734203077
2016-02-26,1.69445362515622
2016-04-28,1.36800406842823
2016-02-19,1.66286301949375
2016-01-24,1.20938508363594
2015-06-06,1.71009545117975
2015-05-29,1.86041788938361
2015-11-02,2.44548836442386
2016-01-15,1.376312001748
2015-09-04,1.8351011983824
2015-08-15,2.36058599729269
2015-02-25,2.02405046628916
2015-01-13,1.8398127326526
2015-12-28,2.49669771090749
2016-04-19,1.3386405715555
2016-01-23,1.18607711224545
2015-04-15,1.87227620016944
2016-02-16,1.57750771551022
2015-12-31,2.17183123837394
2015-04-26,2.29141394493812
2015-12-27,2.40697057650061
2015-06-12,1.52060775561257
2015-09-07,1.5338419625031
2015-10-26,2.44500718945549
2015-01-02,2.29907722014657
2015-07-26,1.96565588402979
2015-06-18,1.40500959103662
2015-10-22,2.44638533819153
2015-10-21,2.36492469269633
2015-06-19,1.38259466575332
2015-05-08,2.06778672281625
2015-05-25,1.83455315282418
2015-07-15,2.01286173642381
2016-02-06,0.95874772651172
2015-01-30,2.26173155217351
2016-04-13,1.71087268393555
2015-08-08,1.9597825910564
