"date","daily.demand"
2012-12-31,39
2013-01-01,39
2013-01-02,43
2013-01-03,41
2013-01-04,41
2013-01-05,51
2013-01-06,35
2013-01-07,40
2013-01-08,45
2013-01-09,46
2013-01-10,38
2013-01-11,49
2013-01-13,49
2013-01-14,50
2013-01-15,46
2013-01-16,43
2013-01-17,46
2013-01-18,43
2013-01-19,41
2013-01-20,44
2013-01-21,43
2013-01-22,40
2013-01-23,45
2013-01-24,52
2013-01-25,50
2013-01-26,44
2013-01-27,34
2013-01-28,42
2013-01-29,48
2013-01-30,54
2013-01-31,53
2013-02-01,38
2013-02-02,45
2013-02-03,47
2013-02-04,54
2013-02-05,53
2013-02-06,45
2013-02-07,44
2013-02-08,50
2013-02-09,49
2013-02-10,42
2013-02-11,45
2013-02-12,52
2013-02-14,45
2013-02-15,53
2013-02-16,50
2013-02-17,48
2013-02-18,55
2013-02-19,43
2013-02-20,44
2013-02-21,55
2013-02-22,51
2013-02-23,43
2013-02-24,43
2013-02-25,45
2013-02-26,51
2013-02-27,51
2013-02-28,46
2013-03-01,53
2013-03-02,54
2013-03-03,49
2013-03-04,56
2013-03-05,47
2013-03-06,43
2013-03-07,45
2013-03-08,52
2013-03-09,49
2013-03-10,48
2013-03-11,42
2013-03-12,52
2013-03-13,38
2013-03-15,57
2013-03-16,50
2013-03-17,38
2013-03-18,43
2013-03-19,41
2013-03-20,45
2013-03-21,39
2013-03-22,39
2013-03-23,36
2013-03-24,30
2013-03-25,29
2013-03-26,32
2013-03-27,34
2013-03-28,35
2013-03-29,38
2013-03-30,33
2013-03-31,35
2013-04-01,28
2013-04-02,35
2013-04-03,43
2013-04-04,41
2013-04-05,28
2013-04-06,26
2013-04-07,38
2013-04-08,39
2013-04-09,40
2013-04-10,35
2013-04-11,24
2013-04-12,24
2013-04-13,31
2013-04-14,32
2013-04-16,39
2013-04-17,35
2013-04-18,27
2013-04-19,36
2013-04-20,41
2013-04-21,38
2013-04-22,36
2013-04-23,35
2013-04-24,34
2013-04-25,34
2013-04-26,35
2013-04-27,30
2013-04-28,35
2013-04-29,40
2013-04-30,40
2013-05-01,31
2013-05-02,34
2013-05-03,34
2013-05-04,26
2013-05-05,35
2013-05-06,34
2013-05-07,31
2013-05-08,29
2013-05-09,29
2013-05-10,33
2013-05-11,41
2013-05-12,31
2013-05-13,26
2013-05-14,33
2013-05-15,35
2013-05-17,41
2013-05-18,38
2013-05-19,36
2013-05-20,33
2013-05-21,36
2013-05-22,40
2013-05-23,38
2013-05-24,40
2013-05-25,38
2013-05-26,30
2013-05-27,31
2013-05-28,37
2013-05-29,40
2013-05-30,39
2013-05-31,37
2013-06-01,42
2013-06-02,35
2013-06-03,29
2013-06-04,37
2013-06-05,38
2013-06-06,35
2013-06-07,36
2013-06-08,33
2013-06-09,34
2013-06-10,42
2013-06-11,52
2013-06-12,48
2013-06-13,45
2013-06-14,55
2013-06-15,40
2013-06-16,38
2013-06-18,39
2013-06-19,41
2013-06-20,41
2013-06-21,48
2013-06-22,45
2013-06-23,42
2013-06-24,42
2013-06-25,46
2013-06-26,47
2013-06-27,39
2013-06-28,51
2013-06-29,47
2013-06-30,56
2013-07-01,58
2013-07-02,56
2013-07-03,60
2013-07-04,62
2013-07-05,61
2013-07-06,57
2013-07-07,59
2013-07-08,59
2013-07-09,66
2013-07-10,63
2013-07-11,60
2013-07-12,60
2013-07-13,63
2013-07-14,67
2013-07-15,66
2013-07-16,67
2013-07-17,63
2013-07-19,60
2013-07-20,62
2013-07-21,59
2013-07-22,61
2013-07-23,67
2013-07-24,65
2013-07-25,66
2013-07-26,61
2013-07-27,67
2013-07-28,65
2013-07-29,66
2013-07-30,63
2013-07-31,61
2013-08-01,62
2013-08-02,66
2013-08-03,67
2013-08-04,64
2013-08-05,68
2013-08-06,71
2013-08-07,69
2013-08-08,64
2013-08-09,69
2013-08-10,63
2013-08-11,65
2013-08-12,68
2013-08-13,64
2013-08-14,66
2013-08-15,64
2013-08-16,66
2013-08-17,67
2013-08-18,61
2013-08-20,67
2013-08-21,67
2013-08-22,72
2013-08-23,72
2013-08-24,71
2013-08-25,68
2013-08-26,68
2013-08-27,68
2013-08-28,70
2013-08-29,77
2013-08-30,76
2013-08-31,74
2013-09-01,75
2013-09-02,72
2013-09-03,78
2013-09-04,74
2013-09-05,72
2013-09-06,77
2013-09-07,77
2013-09-08,76
2013-09-09,77
2013-09-10,77
2013-09-11,74
2013-09-12,75
2013-09-13,73
2013-09-14,68
2013-09-15,65
2013-09-16,64
2013-09-17,71
2013-09-18,76
2013-09-19,75
2013-09-21,74
2013-09-22,71
2013-09-23,72
2013-09-24,76
2013-09-25,78
2013-09-26,81
2013-09-27,80
2013-09-28,80
2013-09-29,81
2013-09-30,81
2013-10-01,80
2013-10-02,75
2013-10-03,76
2013-10-04,73
2013-10-05,71
2013-10-06,74
2013-10-07,70
2013-10-08,70
2013-10-09,69
2013-10-10,75
2013-10-11,75
2013-10-12,74
2013-10-13,74
2013-10-14,77
2013-10-15,77
2013-10-16,73
2013-10-17,73
2013-10-18,74
2013-10-19,77
2013-10-20,80
2013-10-22,84
2013-10-23,78
2013-10-24,77
2013-10-25,77
2013-10-26,79
2013-10-27,77
2013-10-28,82
2013-10-29,83
2013-10-30,79
2013-10-31,78
2013-11-01,77
2013-11-02,81
2013-11-03,79
2013-11-04,80
2013-11-05,78
2013-11-06,77
2013-11-07,82
2013-11-08,84
2013-11-09,79
2013-11-10,79
2013-11-11,78
2013-11-12,78
2013-11-13,79
2013-11-14,80
2013-11-15,81
2013-11-16,81
2013-11-17,83
2013-11-18,81
2013-11-19,86
2013-11-20,87
2013-11-21,81
2013-11-23,74
2013-11-24,80
2013-11-25,81
2013-11-26,81
2013-11-27,85
2013-11-28,83
2013-11-29,81
2013-11-30,80
2013-12-01,81
2013-12-02,85
2013-12-03,85
2013-12-04,87
2013-12-05,83
2013-12-06,88
2013-12-07,88
2013-12-08,82
2013-12-09,82
2013-12-10,80
2013-12-11,83
2013-12-12,84
2013-12-13,83
2013-12-14,80
2013-12-15,80
2013-12-16,75
2013-12-17,75
2013-12-18,76
2013-12-19,77
2013-12-20,77
2013-12-21,79
2013-12-22,82
2013-12-24,86
2013-12-25,81
2013-12-26,76
2013-12-27,73
2013-12-28,80
2013-12-29,79
2013-12-30,74
2013-12-31,70
2014-01-01,76
2014-01-02,78
2014-01-03,80
2014-01-04,78
2014-01-05,74
2014-01-06,78
2014-01-07,79
2014-01-08,79
2014-01-09,81
2014-01-10,80
2014-01-11,82
2014-01-12,89
2014-01-13,85
2014-01-14,87
2014-01-15,81
2014-01-16,80
2014-01-17,82
2014-01-18,80
2014-01-19,83
2014-01-20,86
2014-01-21,88
2014-01-22,87
2014-01-23,82
2014-01-25,79
2014-01-26,78
2014-01-27,75
2014-01-28,72
2014-01-29,76
2014-01-30,80
2014-01-31,85
2014-02-01,81
2014-02-02,80
2014-02-03,82
2014-02-04,85
2014-02-05,84
2014-02-06,85
2014-02-07,88
2014-02-08,92
2014-02-09,92
2014-02-10,90
2014-02-11,90
2014-02-12,92
2014-02-13,87
2014-02-14,88
2014-02-15,88
