"date","daily.demand","n1.demand","n2.demand","n3.demand","n4.demand","n5.demand","n6.demand","n7.demand","n8.demand","n9.demand","n10.demand","n11.demand","n12.demand","n13.demand","n14.demand","n15.demand","n16.demand","n17.demand","n18.demand","n19.demand","n20.demand","n21.demand","n22.demand","n23.demand","n24.demand","n25.demand","n26.demand","n27.demand","n28.demand","n29.demand","n30.demand"
2015-01-01,6,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368,11.8020351209368
2015-01-02,6,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375,12.068520241375
2015-01-03,8,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158,12.3698510517158
2015-01-05,12,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053,12.4434885659053
2015-01-06,13,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731,12.765943284731
2015-01-07,14,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786,12.8735356127786
2015-01-08,11,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287,12.9873569880287
2015-01-09,12,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496,12.8143399398496
2015-01-10,13,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364,12.9315450690364
2015-01-11,10,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604,13.1003681038604
