"date","daily.demand","n1.demand","n2.demand","n3.demand","n4.demand","n5.demand","n6.demand","n7.demand","n8.demand","n9.demand","n10.demand","n11.demand","n12.demand","n13.demand","n14.demand","n15.demand","n16.demand","n17.demand","n18.demand","n19.demand","n20.demand","n21.demand","n22.demand","n23.demand","n24.demand","n25.demand","n26.demand","n27.demand","n28.demand","n29.demand","n30.demand"
2015-01-01,51,49.1080715984061,48.6222044230318,48.3702632197862,48.216227113846,48.1031672534723,48.0072571916991,47.9185248395467,47.8327965760489,47.7483256145487,47.6643808719769,47.5806563679487,47.4970240404149,47.4134302915329,47.329852688984,47.246281844164,47.1627138276581,47.0791469948872,46.9955806575452,46.9120145275552,46.8284484843483,46.7448824774627,46.6613164857787,46.577750500457,46.4941845177981,46.4106185362538,46.3270525551758,46.2434865742931,46.1599205934921,46.0763546127253,45.9927886319728
2015-01-02,49,50.1371335314772,49.371116093042,48.9978364491681,48.7912199607164,48.6553290498891,48.5494514153473,48.4563102869416,48.3685740529237,48.2831314528922,48.1986621848978,48.1146059624283,48.0307250209517,47.9469184621389,47.8631434685322,47.7793818700124,47.6956259558639,47.6118724539488,47.528119975695,47.4443679318445,47.3606160723384,47.2768642910612,47.1931125429813,47.1093608089892,47.0256090809754,46.9418573554985,46.8581056310983,46.7743539071549,46.6906021834054,46.6068504597381,46.5230987361058
2015-01-03,56,48.7872454673213,48.8973864096811,48.9907395544062,49.03486898689,49.0507553776445,49.0552066531165,49.0560296045528,49.0559993247892,49.0558815600017,49.0558127994105,49.0557847094064,49.0557757221395,49.055773580457,49.0557733463888,49.0557734604945,49.0557735588531,49.0557736055826,49.0557736224646,49.0557736272148,49.0557736281016,49.0557736280745,49.055773627951,49.0557736278784,49.0557736278486,49.055773627839,49.0557736278367,49.0557736278365,49.0557736278366,49.0557736278367,49.0557736278367
2015-01-05,59,54.7582949776886,52.9491593616238,52.2084821119834,51.9052418334419,51.7810923924073,51.7302644358332,51.709454989186,51.7009354047102,51.6974474061646,51.6960193865366,51.6954347417808,51.6951953826825,51.6950973868014,51.6950572663599,51.6950408406713,51.6950341158389,51.6950313626289,51.6950302354386,51.6950297739562,51.695029585021,51.6950295076691,51.6950294760005,51.6950294630351,51.6950294577269,51.6950294555537,51.695029454664,51.6950294542997,51.6950294541506,51.6950294540895,51.6950294540645
2015-01-06,52,56.3449593504468,54.5301331789712,53.8478744674331,53.5913887737696,53.4949665369531,53.4587179352479,53.4450907765242,53.4399678353308,53.4380419366895,53.4373179218245,53.4370457384844,53.4369434149353,53.4369049478172,53.436890486638,53.4368850501584,53.4368830063893,53.4368822380627,53.436881949221,53.4368818406349,53.4368817998135,53.4368817844673,53.4368817786981,53.4368817765292,53.4368817757139,53.4368817754074,53.4368817752921,53.4368817752488,53.4368817752325,53.4368817752264,53.4368817752241
2015-01-07,53,50.927070450114,51.1165247752989,50.9189798822124,50.8707154465984,50.7817214488874,50.7112073797452,50.6368616747367,50.5650025271713,50.4929058204442,50.4211893660309,50.3494953281369,50.2778690911357,50.2062577733594,50.134660339295,50.0630677019305,49.9914781937058,49.9198900084011,49.8483025680798,49.776715473226,49.7051285607495,49.6335417364893,49.561954957475,49.4903682007694,49.4187814553583,49.3471947155645,49.2756079785982,49.2040212430435,49.1324345081975,49.0608477737061,48.9892610393923
2015-01-08,51,52.907878079469,52.7321335674178,52.6397613581688,52.6066748764596,52.5983974382672,52.5975384489235,52.5980376453824,52.598436140383,52.5986103300683,52.5986645740944,52.5986753815571,52.598675161631,52.598673719364,52.5986728961887,52.5986725862919,52.598672503661,52.5986724926089,52.5986724961325,52.5986724995512,52.5986725011378,52.5986725016575,52.5986725017711,52.5986725017748,52.5986725017633,52.598672501756,52.5986725017531,52.5986725017523,52.5986725017522,52.5986725017522,52.5986725017522
2015-01-09,51,51.0408682586184,51.4091614287515,51.5594401754199,51.6207600790501,51.6457811193807,51.6559907319561,51.6601566734022,51.6618565486918,51.6625501676582,51.6628331926975,51.6629486785431,51.6629958015134,51.6630150296216,51.6630228754798,51.6630260769124,51.6630273832284,51.663027916259,51.6630281337574,51.6630282225057,51.6630282587186,51.663028273495,51.6630282795244,51.6630282819846,51.6630282829885,51.6630282833981,51.6630282835652,51.6630282836334,51.6630282836613,51.6630282836726,51.6630282836773
2015-01-10,47,51.3891448300038,51.5547492159084,51.6212209248526,51.6479019095731,51.6586113520857,51.6629099999854,51.6646354281526,51.6653279953108,51.6656059838575,51.6657175652849,51.6657623527954,51.6657803299905,51.6657875458313,51.6657904421874,51.6657916047516,51.6657920713916,51.6657922586956,51.6657923338773,51.6657923640543,51.665792376167,51.665792381029,51.6657923829805,51.6657923837638,51.6657923840782,51.6657923842044,51.6657923842551,51.6657923842754,51.6657923842836,51.6657923842868,51.6657923842881
2015-01-11,50,47.5948308894826,48.5774448708938,48.797027252777,49.0013795265934,49.0305869097725,49.0326524728022,48.9913176593364,48.9379564518347,48.8731238771182,48.8040118333002,48.7317188726051,48.6580249671932,48.5834200392474,48.5083741137474,48.4330618914037,48.3576136190634,48.2820865405323,48.2065179426403,48.1309258532665,48.055321168645,47.9797094518318,47.9040939268768,47.8284762917256,47.7528575073518,47.67723808888,47.601618323963,47.5259983683539,47.4503783083678,47.3747581910092,47.2991380422147
