"date","daily.demand","n1.demand","n2.demand","n3.demand","n4.demand","n5.demand","n6.demand","n7.demand","n8.demand","n9.demand","n10.demand","n11.demand","n12.demand","n13.demand","n14.demand","n15.demand","n16.demand","n17.demand","n18.demand","n19.demand","n20.demand","n21.demand","n22.demand","n23.demand","n24.demand","n25.demand","n26.demand","n27.demand","n28.demand","n29.demand","n30.demand"
2015-01-01,7,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575,7.76414681343575
2015-01-02,8,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131,8.10141531297131
2015-01-03,9,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232,8.21116486066232
2015-01-04,10,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792,9.40385914753792
2015-01-05,10,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431,9.42403728397431
2015-01-06,9,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908,9.44027519739908
2015-01-07,11,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032,9.44352616450032
2015-01-08,10,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499,9.54560831143499
2015-01-09,10,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551,9.57449317526551
2015-01-10,9,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272,9.51653295721272
