"date","daily.demand","n1.demand","n2.demand","n3.demand","n4.demand","n5.demand","n6.demand","n7.demand","n8.demand","n9.demand","n10.demand","n11.demand","n12.demand","n13.demand","n14.demand","n15.demand","n16.demand","n17.demand","n18.demand","n19.demand","n20.demand","n21.demand","n22.demand","n23.demand","n24.demand","n25.demand","n26.demand","n27.demand","n28.demand","n29.demand","n30.demand"
2015-01-01,6,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1
2015-01-02,6,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
2015-01-03,8,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444,13.8444444444444
2015-01-05,12,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778,13.7777777777778
2015-01-06,13,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556,13.7555555555556
2015-01-07,14,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333,13.7333333333333
2015-01-08,11,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667,13.6666666666667
2015-01-09,12,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444,13.6444444444444
2015-01-10,13,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778,13.5777777777778
2015-01-11,10,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5,13.5
