"","date","demand.actual","monthly.pred","quarterly.pred","half.annual.pred","annual.pred","ensemble.pred"
"1",2015-03-01,26.06666667,58.1263419871755,39.7128510419027,48.4717837581931,46.4673827629278,48.1945898875498
"2",2015-04-01,23.13793103,32.4284899011054,7.97606081909563,7.56664076204784,0,11.9927978705622
"3",2015-05-01,20.5,3.10968263462699,17.0632208670138,18.7427453536112,20.2771297979828,14.7981946633087
"4",2015-06-01,17.24137931,31.4864101962127,39.8888916539049,29.9878946246591,17.3101952093643,29.6683479210353
"5",2015-07-01,18.2,20.6000264263021,11.2968287386329,10.3539236912302,14.8033425368205,14.2635303482464
"6",2015-08-01,24,16.6466353448547,27.6407364384604,13.0083316579958,15.7587308512371,18.263608573137
"7",2015-09-01,24.20689655,20.3902821418723,23.6763621242531,28.2092260685698,19.9777918794532,23.0634155535371
"8",2015-10-01,22.2,16.5812351876015,22.4705979078411,25.4600754210874,27.9158734930766,23.1069455024017
"9",2015-11-01,18.65517241,13.9763305580936,17.1953617012913,20.5986570198125,22.9709696745228,18.68532973843
"10",2015-12-01,17.4,16.3070271429198,15.9315636079721,21.7152877665315,17.9912645297172,17.9862857617852
"11",2016-01-01,15.46666667,15.9663720727581,17.9111284021557,14.5678777153458,17.0171885384617,16.3656416821803
"12",2016-02-01,14.03571429,15.3641168366072,12.656533096906,8.80730378234355,17.4382024798035,13.5665390489151
"13",2016-03-01,11,10.9581940512127,16.0211827938332,14.9309587375062,16.7835733005483,14.6734772207751
"14",2016-04-01,9.275862069,7.76843813889564,10.6252614694126,6.34443596022589,3.37261076832463,7.02768658421468
"15",2016-05-01,8.866666667,11.4594924509624,9.88026563785687,7.66095083058171,14.0058410800074,10.7516374998521
"16",2016-06-01,NA,13.5174260291555,13.2364798531138,8.29744115558172,8.90084525078614,10.9880480721593
"17",2016-07-01,NA,15.8651152608117,18.4969813190906,8.98058788616025,6.71771052839449,12.5150987486143
