"","date","demand.actual","monthly.pred","quarterly.pred","half.annual.pred","annual.pred","ensemble.pred"
"1",2015-04-01,5.3,2.15306046056388,5.69916054982517,3.83665319582767,5.55341090330525,4.31057127738049
"2",2015-05-01,5.096774194,4.03262106831206,5.25899972055758,5.62299201580242,4.35417068114312,4.8171958714538
"3",2015-06-01,4.866666667,5.14795063368352,5.5468650296261,3.99871786904727,3.10031788270382,4.44846285376518
"4",2015-07-01,4.774193548,3.16557888327366,2.19793135101171,5.81695076733102,4.76780112947904,3.98706553277386
"5",2015-08-01,4.064516129,3.99786953840274,3.29876762628872,4.63675808899739,4.25189116631818,4.04632160500176
"6",2015-09-01,4.333333333,5.94384781428987,4.82668789986198,0.0491759383916204,3.34187369398456,3.54039633663201
"7",2015-10-01,5.032258065,5.99088589307282,5.38073709620226,3.56982773987939,5.18556937554231,5.03175502617419
"8",2015-11-01,5.633333333,5.47956682987042,5.60483843179462,4.21455045900965,5.46696108360779,5.19147920107062
"9",2015-12-01,5.774193548,5.4196809154588,5.18323689193153,4.96853896000711,6.41142874186284,5.49572137731507
"10",2016-01-01,3.387096774,5.62844384602365,6.51630346525797,6.82745145198853,6.3713177217403,6.33587912125261
"11",2016-02-01,3.103448276,5.68174385027307,5.32341841531095,4.23720882594582,4.62188497126393,4.96606401569844
"12",2016-03-01,2,4.84745888776141,2.75667882762039,3.4852652262197,4.15408342082436,3.81087159060646
"13",2016-04-01,3.033333333,3.76826065006607,4.85100635315709,2.85046139163189,3.17387398386196,3.66090059467925
"14",2016-05-01,1.387096774,4.94501447161934,4.11520418449175,4.10598140972423,3.51680152811906,4.17075039848859
"15",2016-06-01,NA,1.1776703315162,0.692169679299023,1.1508474275837,0.983067292493727,1.00093868272316
"16",2016-07-01,NA,0,0,0,0,0
"17",2016-08-01,NA,7.22021824117132,4.18794133276137,0.703372042847277,0.934790403061884,3.26158050496046
