"","date","demand.actual","monthly.pred","quarterly.pred","half.annual.pred","annual.pred","ensemble.pred"
"1",2015-04-01,9.827586207,7.76641231355704,8.03885763914235,10.560676612955,9.18409927126327,8.88751145922941
"2",2015-05-01,10.33333333,16.8886756605204,11.8104633265282,9.1475150135699,8.01870472743507,11.4663396820134
"3",2015-06-01,9.448275862,8.95515342425273,11.3072915352669,8.54050997944601,16.8166514702042,11.4049016022925
"4",2015-07-01,9.133333333,8.67489917664311,8.60257269506241,8.11296148019009,7.87675458270734,8.31679698365074
"5",2015-08-01,9.133333333,9.91764347281249,8.26424652589253,10.0317955707802,10.0554150282284,9.56727514942842
"6",2015-09-01,8.896551724,11.6761969782969,10.9521257033623,8.18406715346318,8.18274457027872,9.74878360135027
"7",2015-10-01,9.5,9.11940654870695,7.44183917732278,9.57453726067259,8.14231842115679,8.56952535196478
"8",2015-11-01,8.620689655,8.80762898388842,9.4896030555272,9.42870145028997,8.24788497397285,8.99345461591961
"9",2015-12-01,6.866666667,9.69885390347022,8.30748120646165,8.55577487297889,9.44508293488653,9.00179822944932
"10",2016-01-01,6.333333333,8.14596187052489,11.245130906434,8.62158196879748,7.45822980382378,8.86772613739504
"11",2016-02-01,4.642857143,7.96712338613382,7.60442190236584,7.92635824295417,7.63863554874877,7.78413477005065
"12",2016-03-01,5,6.71010029296917,4.94553453261648,5.83383312303943,5.05190202417177,5.63534249319921
"13",2016-04-01,6.206896552,4.56656315210893,4.46619176949319,5.97673008407845,3.8639327267079,4.71835443309712
"14",2016-05-01,7.966666667,4.63624397516235,4.9902562003033,3.70315656842444,4.27340142901344,4.40076454322588
"15",2016-06-01,NA,7.54633365480369,7.7037210236476,5.50540228346718,7.71692532023329,7.11809557053794
"16",2016-07-01,NA,7.44164187433464,5.39483082193042,9.05895228981407,7.20226536552011,7.27442258789981
"17",2016-08-01,NA,11.6795072739702,11.3211513751022,10.0798057089423,12.3818310614748,11.3655738548724
