Year,Month,Day,toola.dd
2012,11,15,4
2012,11,16,4
2012,11,17,5
2012,11,18,4
2012,11,19,5
2012,11,20,7
2012,11,21,7
2012,11,22,1
2012,11,23,5
2012,11,24,5
2012,11,25,5
2012,11,26,4
2012,11,27,5
2012,11,28,5
2012,11,29,5
2012,11,30,5
2012,12,1,5
2012,12,2,6
2012,12,3,4
2012,12,4,6
2012,12,5,9
2012,12,6,10
2012,12,7,9
2012,12,8,5
2012,12,9,1
2012,12,10,3
2012,12,12,6
2012,12,13,7
2012,12,14,4
2012,12,15,5
2012,12,16,3
2012,12,17,7
2012,12,18,9
2012,12,19,9
2012,12,20,8
2012,12,21,5
2012,12,22,4
2012,12,23,2
2012,12,24,2
2012,12,25,1
2012,12,26,4
2012,12,27,6
2012,12,28,7
2012,12,29,1
2012,12,30,1
2012,12,31,1
2013,1,1,1
2013,1,2,1
2013,1,3,4
2013,1,4,2
2013,1,5,4
2013,1,6,4
2013,1,7,8
2013,1,8,10
2013,1,9,12
2013,1,10,4
2013,1,11,2
2013,1,13,2
2013,1,14,4
2013,1,15,4
2013,1,16,5
2013,1,17,6
2013,1,18,3
2013,1,19,5
2013,1,20,4
2013,1,21,6
2013,1,22,9
2013,1,23,6
2013,1,24,7
2013,1,25,11
2013,1,26,9
2013,1,27,5
2013,1,28,10
2013,1,29,12
2013,1,30,10
2013,1,31,4
2013,2,1,8
2013,2,2,8
2013,2,3,5
2013,2,4,9
2013,2,5,6
2013,2,6,10
2013,2,7,7
2013,2,8,4
2013,2,9,3
2013,2,10,1
2013,2,11,6
2013,2,12,10
2013,2,14,7
2013,2,15,9
2013,2,16,6
2013,2,17,4
2013,2,18,2
2013,2,19,6
2013,2,20,7
2013,2,21,8
2013,2,22,8
2013,2,23,8
2013,2,24,3
2013,2,25,4
2013,2,26,3
2013,2,27,5
2013,2,28,7
2013,3,1,4
2013,3,2,3
2013,3,3,0
2013,3,4,4
2013,3,5,4
2013,3,6,7
2013,3,7,8
2013,3,8,7
2013,3,9,3
2013,3,10,6
2013,3,11,8
2013,3,12,8
2013,3,13,10
2013,3,15,12
2013,3,16,9
2013,3,17,8
2013,3,18,9
2013,3,19,4
2013,3,20,10
2013,3,21,10
2013,3,22,6
2013,3,23,7
2013,3,24,8
2013,3,25,9
2013,3,26,6
2013,3,27,7
2013,3,28,4
2013,3,29,2
2013,3,30,4
2013,3,31,8
2013,4,1,10
2013,4,2,12
2013,4,3,10
2013,4,4,8
2013,4,5,7
2013,4,6,7
2013,4,7,9
2013,4,8,8
2013,4,9,9
2013,4,10,10
2013,4,11,8
2013,4,12,7
2013,4,13,5
2013,4,14,2
2013,4,16,13
2013,4,17,14
2013,4,18,13
2013,4,19,6
2013,4,20,7
2013,4,21,7
2013,4,22,11
2013,4,23,11
2013,4,24,8
2013,4,25,10
2013,4,26,5
2013,4,27,2
2013,4,28,4
2013,4,29,4
2013,4,30,9
2013,5,1,12
2013,5,2,16
2013,5,3,10
2013,5,4,9
2013,5,5,7
2013,5,6,10
2013,5,7,11
2013,5,8,10
2013,5,9,10
2013,5,10,9
2013,5,11,5
2013,5,12,8
2013,5,13,11
2013,5,14,9
2013,5,15,7
2013,5,17,9
2013,5,18,8
2013,5,19,5
2013,5,20,8
2013,5,21,14
2013,5,22,14
2013,5,23,12
2013,5,24,12
2013,5,25,9
2013,5,26,9
2013,5,27,6
2013,5,28,10
2013,5,29,9
2013,5,30,14
2013,5,31,10
2013,6,1,9
2013,6,2,7
2013,6,3,5
2013,6,4,8
2013,6,5,11
2013,6,6,8
2013,6,7,6
2013,6,8,5
2013,6,9,7
2013,6,10,8
2013,6,11,7
2013,6,12,9
2013,6,13,11
2013,6,14,10
2013,6,15,7
2013,6,16,7
2013,6,18,9
2013,6,19,10
2013,6,20,8
2013,6,21,11
2013,6,22,6
2013,6,23,8
2013,6,24,11
2013,6,25,15
2013,6,26,17
2013,6,27,11
2013,6,28,11
2013,6,29,7
2013,6,30,4
2013,7,1,8
2013,7,2,9
2013,7,3,14
2013,7,4,8
2013,7,5,6
2013,7,6,4
2013,7,7,4
2013,7,8,7
2013,7,9,12
2013,7,10,12
2013,7,11,14
2013,7,12,14
2013,7,13,13
2013,7,14,17
2013,7,15,17
2013,7,16,15
2013,7,17,15
2013,7,19,11
2013,7,20,10
2013,7,21,8
2013,7,22,9
2013,7,23,12
2013,7,24,14
2013,7,25,13
2013,7,26,12
2013,7,27,12
2013,7,28,12
2013,7,29,13
2013,7,30,12
2013,7,31,12
2013,8,1,16
2013,8,2,18
2013,8,3,13
2013,8,4,14
2013,8,5,12
2013,8,6,13
2013,8,7,15
2013,8,8,13
2013,8,9,13
2013,8,10,11
2013,8,11,11
2013,8,12,10
2013,8,13,12
2013,8,14,17
2013,8,15,14
2013,8,16,13
2013,8,17,11
2013,8,18,9
2013,8,20,13
2013,8,21,14
2013,8,22,15
2013,8,23,13
2013,8,24,12
2013,8,25,13
2013,8,26,15
2013,8,27,13
2013,8,28,13
2013,8,29,10
2013,8,30,12
2013,8,31,12
2013,9,1,11
2013,9,2,16
2013,9,3,15
2013,9,4,13
2013,9,5,9
2013,9,6,12
2013,9,7,11
2013,9,8,10
2013,9,9,9
2013,9,10,12
2013,9,11,14
2013,9,12,14
2013,9,13,15
2013,9,14,14
2013,9,15,14
2013,9,16,13
2013,9,17,13
2013,9,18,16
2013,9,19,12
2013,9,21,8
2013,9,22,8
2013,9,23,10
2013,9,24,12
2013,9,25,12
2013,9,26,17
2013,9,27,14
2013,9,28,12
2013,9,29,11
2013,9,30,12
2013,10,1,16
2013,10,2,16
2013,10,3,14
2013,10,4,12
2013,10,5,9
2013,10,6,9
2013,10,7,10
2013,10,8,12
2013,10,9,11
2013,10,10,11
2013,10,11,11
2013,10,12,11
2013,10,13,11
2013,10,14,14
2013,10,15,14
2013,10,16,15
2013,10,17,13
2013,10,18,10
2013,10,19,6
2013,10,20,5
2013,10,22,9
2013,10,23,6
2013,10,24,7
2013,10,25,5
2013,10,26,6
2013,10,27,6
2013,10,28,6
2013,10,29,7
2013,10,30,8
2013,10,31,7
2013,11,1,6
2013,11,2,5
2013,11,3,10
2013,11,4,9
2013,11,5,8
2013,11,6,7
2013,11,7,10
2013,11,8,10
2013,11,9,15
2013,11,10,13
2013,11,11,12
2013,11,12,12
2013,11,13,12
2013,11,14,17
2013,11,15,18
2013,11,16,18
2013,11,17,16
2013,11,18,15
2013,11,19,15
2013,11,20,21
2013,11,21,21
2013,11,23,17
2013,11,24,17
2013,11,25,19
2013,11,26,22
2013,11,27,18
2013,11,28,16
2013,11,29,17
2013,11,30,18
2013,12,1,17
2013,12,2,19
2013,12,3,15
2013,12,4,18
2013,12,5,16
2013,12,6,16
2013,12,7,13
2013,12,8,16
2013,12,9,16
2013,12,10,17
2013,12,11,15
2013,12,12,17
2013,12,13,18
2013,12,14,17
2013,12,15,15
2013,12,16,13
2013,12,17,14
2013,12,18,14
2013,12,19,15
2013,12,20,15
2013,12,21,14
2013,12,22,15
2013,12,24,11
2013,12,25,11
2013,12,26,12
2013,12,27,11
2013,12,28,10
2013,12,29,11
2013,12,30,12
2013,12,31,12
2014,1,1,11
2014,1,2,14
2014,1,3,14
2014,1,4,11
2014,1,5,12
2014,1,6,18
2014,1,7,17
2014,1,8,15
2014,1,9,15
2014,1,10,14
2014,1,11,11
2014,1,12,12
2014,1,13,15
2014,1,14,17
2014,1,15,17
2014,1,16,14
2014,1,17,17
2014,1,18,17
2014,1,19,15
2014,1,20,16
2014,1,21,13
2014,1,22,10
2014,1,23,12
2014,1,25,7
2014,1,26,7
2014,1,27,12
2014,1,28,12
2014,1,29,13
2014,1,30,18
2014,1,31,15
2014,2,1,12
2014,2,2,12
2014,2,3,18
2014,2,4,18
2014,2,5,16
2014,2,6,13
2014,2,7,13
2014,2,8,11
2014,2,9,8
2014,2,10,9
2014,2,11,11
2014,2,12,10
2014,2,13,10
2014,2,14,9
2014,2,15,11
2014,2,16,12
2014,2,17,11
2014,2,18,15
2014,2,19,18
2014,2,20,16
2014,2,21,16
2014,2,22,16
2014,2,23,14
2014,2,24,13
2014,2,26,13
2014,2,27,12
2014,2,28,11
2014,3,1,9
2014,3,2,13
2014,3,3,14
2014,3,4,15
2014,3,5,14
2014,3,6,12
2014,3,7,14
2014,3,8,14
2014,3,9,13
2014,3,10,15
2014,3,11,14
2014,3,12,12
2014,3,13,13
2014,3,14,15
2014,3,15,13
2014,3,16,14
2014,3,17,17
2014,3,18,16
2014,3,19,12
2014,3,20,14
2014,3,21,14
2014,3,22,14
2014,3,23,16
2014,3,24,17
2014,3,25,14
2014,3,27,17
2014,3,28,21
2014,3,29,13
2014,3,30,14
2014,3,31,15
2014,4,1,16
2014,4,2,17
2014,4,3,20
2014,4,4,19
2014,4,5,21
2014,4,6,16
2014,4,7,20
2014,4,8,20
2014,4,9,20
2014,4,10,18
2014,4,11,15
2014,4,12,11
2014,4,13,8
2014,4,14,11
2014,4,15,16
2014,4,16,18
2014,4,17,18
2014,4,18,17
2014,4,19,15
2014,4,20,15
2014,4,21,15
2014,4,22,18
2014,4,23,15
2014,4,24,16
2014,4,25,11
2014,4,26,13
2014,4,28,21
2014,4,29,20
2014,4,30,19
2014,5,1,14
2014,5,2,15
2014,5,3,13
2014,5,4,14
2014,5,5,18
2014,5,6,13
2014,5,7,18
2014,5,8,21
2014,5,9,20
2014,5,10,18
2014,5,11,14
2014,5,12,17
2014,5,13,17
2014,5,14,18
2014,5,15,19
2014,5,16,20
2014,5,17,15
2014,5,18,14
2014,5,19,14
2014,5,20,14
2014,5,21,19
2014,5,22,19
2014,5,23,16
2014,5,24,17
2014,5,25,17
2014,5,26,15
2014,5,27,15
2014,5,29,17
2014,5,30,16
2014,5,31,13
2014,6,1,10
2014,6,2,14
2014,6,3,16
2014,6,4,16
2014,6,5,18
2014,6,6,17
2014,6,7,12
2014,6,8,15
2014,6,9,18
2014,6,10,20
2014,6,11,15
2014,6,12,15
2014,6,13,18
2014,6,14,18
2014,6,15,17
2014,6,16,17
2014,6,17,15
2014,6,18,16
2014,6,19,17
2014,6,20,16
2014,6,21,14
2014,6,22,12
2014,6,23,15
2014,6,24,18
2014,6,25,16
2014,6,26,22
2014,6,27,20
2014,6,28,22
2014,6,30,22
2014,7,1,20
2014,7,2,21
2014,7,3,20
2014,7,4,18
2014,7,5,16
2014,7,6,18
2014,7,7,18
2014,7,8,20
2014,7,9,16
2014,7,10,18
2014,7,11,15
2014,7,12,17
2014,7,13,18
2014,7,14,18
2014,7,15,16
2014,7,16,19
2014,7,17,17
2014,7,18,15
2014,7,19,13
2014,7,20,13
2014,7,21,17
2014,7,22,17
2014,7,23,14
2014,7,24,14
2014,7,25,17
2014,7,26,17
2014,7,27,21
2014,7,28,19
2014,7,29,20
2014,7,31,22
2014,8,1,16
2014,8,2,18
2014,8,3,21
2014,8,4,21
2014,8,5,23
2014,8,6,23
2014,8,7,21
2014,8,8,23
2014,8,9,18
2014,8,10,19
2014,8,11,23
2014,8,12,24
2014,8,13,20
2014,8,14,17
2014,8,15,20
2014,8,16,18
2014,8,17,17
2014,8,18,21
2014,8,19,21
2014,8,20,19
2014,8,21,16
2014,8,22,16
2014,8,23,12
2014,8,24,14
2014,8,25,14
2014,8,26,17
2014,8,27,17
2014,8,28,14
2014,8,29,15
2014,8,30,13
2014,9,1,16
2014,9,2,20
2014,9,3,17
2014,9,4,16
2014,9,5,17
2014,9,6,10
2014,9,7,11
2014,9,8,15
2014,9,9,11
2014,9,10,12
2014,9,11,16
2014,9,12,16
2014,9,13,16
