Year,Month,Day,toolb.dd
2012,11,15,37
2012,11,16,43
2012,11,17,36
2012,11,18,33
2012,11,19,36
2012,11,20,39
2012,11,21,37
2012,11,22,30
2012,11,23,41
2012,11,24,44
2012,11,25,42
2012,11,26,29
2012,11,27,24
2012,11,28,30
2012,11,29,30
2012,11,30,34
2012,12,1,40
2012,12,2,41
2012,12,3,34
2012,12,4,28
2012,12,5,32
2012,12,6,37
2012,12,7,42
2012,12,8,41
2012,12,9,39
2012,12,10,38
2012,12,12,36
2012,12,13,40
2012,12,14,36
2012,12,15,34
2012,12,16,49
2012,12,17,49
2012,12,18,40
2012,12,19,38
2012,12,20,44
2012,12,21,36
2012,12,22,29
2012,12,23,25
2012,12,24,19
2012,12,25,18
2012,12,26,25
2012,12,27,27
2012,12,28,28
2012,12,29,37
2012,12,30,35
2012,12,31,39
2013,1,1,39
2013,1,2,43
2013,1,3,41
2013,1,4,41
2013,1,5,51
2013,1,6,35
2013,1,7,40
2013,1,8,45
2013,1,9,46
2013,1,10,38
2013,1,11,49
2013,1,13,49
2013,1,14,50
2013,1,15,46
2013,1,16,43
2013,1,17,46
2013,1,18,43
2013,1,19,41
2013,1,20,44
2013,1,21,43
2013,1,22,40
2013,1,23,45
2013,1,24,52
2013,1,25,50
2013,1,26,44
2013,1,27,34
2013,1,28,42
2013,1,29,48
2013,1,30,54
2013,1,31,53
2013,2,1,38
2013,2,2,45
2013,2,3,47
2013,2,4,54
2013,2,5,53
2013,2,6,45
2013,2,7,44
2013,2,8,50
2013,2,9,49
2013,2,10,42
2013,2,11,45
2013,2,12,52
2013,2,14,45
2013,2,15,53
2013,2,16,50
2013,2,17,48
2013,2,18,55
2013,2,19,43
2013,2,20,44
2013,2,21,55
2013,2,22,51
2013,2,23,43
2013,2,24,43
2013,2,25,45
2013,2,26,51
2013,2,27,51
2013,2,28,46
2013,3,1,53
2013,3,2,54
2013,3,3,49
2013,3,4,56
2013,3,5,47
2013,3,6,43
2013,3,7,45
2013,3,8,52
2013,3,9,49
2013,3,10,48
2013,3,11,42
2013,3,12,52
2013,3,13,38
2013,3,15,57
2013,3,16,50
2013,3,17,38
2013,3,18,43
2013,3,19,41
2013,3,20,45
2013,3,21,39
2013,3,22,39
2013,3,23,36
2013,3,24,30
2013,3,25,29
2013,3,26,32
2013,3,27,34
2013,3,28,35
2013,3,29,38
2013,3,30,33
2013,3,31,35
2013,4,1,28
2013,4,2,35
2013,4,3,43
2013,4,4,41
2013,4,5,28
2013,4,6,26
2013,4,7,38
2013,4,8,39
2013,4,9,40
2013,4,10,35
2013,4,11,24
2013,4,12,24
2013,4,13,31
2013,4,14,32
2013,4,16,39
2013,4,17,35
2013,4,18,27
2013,4,19,36
2013,4,20,41
2013,4,21,38
2013,4,22,36
2013,4,23,35
2013,4,24,34
2013,4,25,34
2013,4,26,35
2013,4,27,30
2013,4,28,35
2013,4,29,40
2013,4,30,40
2013,5,1,31
2013,5,2,34
2013,5,3,34
2013,5,4,26
2013,5,5,35
2013,5,6,34
2013,5,7,31
2013,5,8,29
2013,5,9,29
2013,5,10,33
2013,5,11,41
2013,5,12,31
2013,5,13,26
2013,5,14,33
2013,5,15,35
2013,5,17,41
2013,5,18,38
2013,5,19,36
2013,5,20,33
2013,5,21,36
2013,5,22,40
2013,5,23,38
2013,5,24,40
2013,5,25,38
2013,5,26,30
2013,5,27,31
2013,5,28,37
2013,5,29,40
2013,5,30,39
2013,5,31,37
2013,6,1,42
2013,6,2,35
2013,6,3,29
2013,6,4,37
2013,6,5,38
2013,6,6,35
2013,6,7,36
2013,6,8,33
2013,6,9,34
2013,6,10,42
2013,6,11,52
2013,6,12,48
2013,6,13,45
2013,6,14,55
2013,6,15,40
2013,6,16,38
2013,6,18,39
2013,6,19,41
2013,6,20,41
2013,6,21,48
2013,6,22,45
2013,6,23,42
2013,6,24,42
2013,6,25,46
2013,6,26,47
2013,6,27,39
2013,6,28,51
2013,6,29,47
2013,6,30,56
2013,7,1,58
2013,7,2,56
2013,7,3,60
2013,7,4,62
2013,7,5,61
2013,7,6,57
2013,7,7,59
2013,7,8,59
2013,7,9,66
2013,7,10,63
2013,7,11,60
2013,7,12,60
2013,7,13,63
2013,7,14,67
2013,7,15,66
2013,7,16,67
2013,7,17,63
2013,7,19,60
2013,7,20,62
2013,7,21,59
2013,7,22,61
2013,7,23,67
2013,7,24,65
2013,7,25,66
2013,7,26,61
2013,7,27,67
2013,7,28,65
2013,7,29,66
2013,7,30,63
2013,7,31,61
2013,8,1,62
2013,8,2,66
2013,8,3,67
2013,8,4,64
2013,8,5,68
2013,8,6,71
2013,8,7,69
2013,8,8,64
2013,8,9,69
2013,8,10,63
2013,8,11,65
2013,8,12,68
2013,8,13,64
2013,8,14,66
2013,8,15,64
2013,8,16,66
2013,8,17,67
2013,8,18,61
2013,8,20,67
2013,8,21,67
2013,8,22,72
2013,8,23,72
2013,8,24,71
2013,8,25,68
2013,8,26,68
2013,8,27,68
2013,8,28,70
2013,8,29,77
2013,8,30,76
2013,8,31,74
2013,9,1,75
2013,9,2,72
2013,9,3,78
2013,9,4,74
2013,9,5,72
2013,9,6,77
2013,9,7,77
2013,9,8,76
2013,9,9,77
2013,9,10,77
2013,9,11,74
2013,9,12,75
2013,9,13,73
2013,9,14,68
2013,9,15,65
2013,9,16,64
2013,9,17,71
2013,9,18,76
2013,9,19,75
2013,9,21,74
2013,9,22,71
2013,9,23,72
2013,9,24,76
2013,9,25,78
2013,9,26,81
2013,9,27,80
2013,9,28,80
2013,9,29,81
2013,9,30,81
2013,10,1,80
2013,10,2,75
2013,10,3,76
2013,10,4,73
2013,10,5,71
2013,10,6,74
2013,10,7,70
2013,10,8,70
2013,10,9,69
2013,10,10,75
2013,10,11,75
2013,10,12,74
2013,10,13,74
2013,10,14,77
2013,10,15,77
2013,10,16,73
2013,10,17,73
2013,10,18,74
2013,10,19,77
2013,10,20,80
2013,10,22,84
2013,10,23,78
2013,10,24,77
2013,10,25,77
2013,10,26,79
2013,10,27,77
2013,10,28,82
2013,10,29,83
2013,10,30,79
2013,10,31,78
2013,11,1,77
2013,11,2,81
2013,11,3,79
2013,11,4,80
2013,11,5,78
2013,11,6,77
2013,11,7,82
2013,11,8,84
2013,11,9,79
2013,11,10,79
2013,11,11,78
2013,11,12,78
2013,11,13,79
2013,11,14,80
2013,11,15,81
2013,11,16,81
2013,11,17,83
2013,11,18,81
2013,11,19,86
2013,11,20,87
2013,11,21,81
2013,11,23,74
2013,11,24,80
2013,11,25,81
2013,11,26,81
2013,11,27,85
2013,11,28,83
2013,11,29,81
2013,11,30,80
2013,12,1,81
2013,12,2,85
2013,12,3,85
2013,12,4,87
2013,12,5,83
2013,12,6,88
2013,12,7,88
2013,12,8,82
2013,12,9,82
2013,12,10,80
2013,12,11,83
2013,12,12,84
2013,12,13,83
2013,12,14,80
2013,12,15,80
2013,12,16,75
2013,12,17,75
2013,12,18,76
2013,12,19,77
2013,12,20,77
2013,12,21,79
2013,12,22,82
2013,12,24,86
2013,12,25,81
2013,12,26,76
2013,12,27,73
2013,12,28,80
2013,12,29,79
2013,12,30,74
2013,12,31,70
2014,1,1,76
2014,1,2,78
2014,1,3,80
2014,1,4,78
2014,1,5,74
2014,1,6,78
2014,1,7,79
2014,1,8,79
2014,1,9,81
2014,1,10,80
2014,1,11,82
2014,1,12,89
2014,1,13,85
2014,1,14,87
2014,1,15,81
2014,1,16,80
2014,1,17,82
2014,1,18,80
2014,1,19,83
2014,1,20,86
2014,1,21,88
2014,1,22,87
2014,1,23,82
2014,1,25,79
2014,1,26,78
2014,1,27,75
2014,1,28,72
2014,1,29,76
2014,1,30,80
2014,1,31,85
2014,2,1,81
2014,2,2,80
2014,2,3,82
2014,2,4,85
2014,2,5,84
2014,2,6,85
2014,2,7,88
2014,2,8,92
2014,2,9,92
2014,2,10,90
2014,2,11,90
2014,2,12,92
2014,2,13,87
2014,2,14,88
2014,2,15,88
2014,2,16,89
2014,2,17,89
2014,2,18,83
2014,2,19,83
2014,2,20,85
2014,2,21,82
2014,2,22,85
2014,2,23,85
2014,2,24,83
2014,2,26,83
2014,2,27,86
2014,2,28,84
2014,3,1,83
2014,3,2,85
2014,3,3,87
2014,3,4,81
2014,3,5,81
2014,3,6,77
2014,3,7,75
2014,3,8,80
2014,3,9,75
2014,3,10,78
2014,3,11,73
2014,3,12,70
2014,3,13,69
2014,3,14,71
2014,3,15,71
2014,3,16,71
2014,3,17,69
2014,3,18,75
2014,3,19,76
2014,3,20,74
2014,3,21,68
2014,3,22,69
2014,3,23,69
2014,3,24,65
2014,3,25,64
2014,3,27,66
2014,3,28,67
2014,3,29,69
2014,3,30,67
2014,3,31,69
2014,4,1,69
2014,4,2,68
2014,4,3,66
2014,4,4,64
2014,4,5,67
2014,4,6,72
2014,4,7,72
2014,4,8,74
2014,4,9,69
2014,4,10,70
2014,4,11,69
2014,4,12,68
2014,4,13,66
2014,4,14,69
2014,4,15,69
2014,4,16,68
2014,4,17,68
2014,4,18,71
2014,4,19,69
2014,4,20,72
2014,4,21,70
2014,4,22,68
2014,4,23,72
2014,4,24,76
2014,4,25,70
2014,4,26,66
2014,4,28,61
2014,4,29,60
2014,4,30,64
2014,5,1,66
2014,5,2,66
2014,5,3,65
2014,5,4,65
2014,5,5,70
2014,5,6,70
2014,5,7,72
2014,5,8,70
2014,5,9,65
2014,5,10,62
2014,5,11,64
2014,5,12,69
2014,5,13,63
2014,5,14,63
2014,5,15,65
2014,5,16,65
2014,5,17,66
2014,5,18,69
2014,5,19,68
2014,5,20,68
2014,5,21,71
2014,5,22,68
2014,5,23,65
2014,5,24,65
2014,5,25,63
2014,5,26,60
2014,5,27,58
2014,5,29,59
2014,5,30,58
2014,5,31,62
2014,6,1,60
2014,6,2,56
2014,6,3,56
2014,6,4,56
2014,6,5,55
2014,6,6,55
2014,6,7,58
2014,6,8,58
2014,6,9,57
2014,6,10,58
2014,6,11,57
2014,6,12,54
2014,6,13,60
2014,6,14,59
2014,6,15,56
2014,6,16,63
2014,6,17,60
2014,6,18,59
2014,6,19,59
2014,6,20,59
2014,6,21,61
2014,6,22,61
2014,6,23,60
2014,6,24,61
2014,6,25,58
2014,6,26,60
2014,6,27,58
2014,6,28,58
2014,6,30,59
2014,7,1,59
2014,7,2,62
2014,7,3,59
2014,7,4,61
2014,7,5,63
2014,7,6,62
2014,7,7,58
2014,7,8,59
2014,7,9,61
2014,7,10,62
2014,7,11,59
2014,7,12,56
2014,7,13,59
2014,7,14,59
2014,7,15,63
2014,7,16,64
2014,7,17,58
2014,7,18,58
2014,7,19,55
2014,7,20,53
2014,7,21,51
2014,7,22,52
2014,7,23,61
2014,7,24,64
2014,7,25,65
2014,7,26,64
2014,7,27,62
2014,7,28,58
2014,7,29,59
2014,7,31,54
2014,8,1,56
2014,8,2,54
2014,8,3,58
2014,8,4,57
2014,8,5,59
2014,8,6,60
2014,8,7,63
2014,8,8,56
2014,8,9,55
2014,8,10,53
2014,8,11,53
2014,8,12,51
2014,8,13,53
2014,8,14,58
2014,8,15,56
2014,8,16,55
2014,8,17,57
2014,8,18,61
2014,8,19,58
2014,8,20,58
2014,8,21,58
2014,8,22,59
2014,8,23,53
2014,8,24,51
2014,8,25,54
2014,8,26,53
2014,8,27,56
2014,8,28,56
2014,8,29,56
2014,8,30,53
2014,9,1,54
2014,9,2,54
2014,9,3,59
2014,9,4,56
2014,9,5,56
2014,9,6,57
2014,9,7,59
2014,9,8,61
2014,9,9,55
2014,9,10,55
2014,9,11,59
2014,9,12,60
2014,9,13,58
2014,9,14,56
2014,9,15,56
2014,9,16,56
2014,9,17,58
2014,9,18,63
2014,9,19,58
2014,9,20,59
2014,9,21,61
2014,9,22,57
2014,9,23,52
2014,9,24,51
2014,9,25,55
2014,9,26,55
2014,9,27,59
2014,9,28,59
2014,9,29,57
2014,9,30,56
2014,10,1,56
2014,10,3,50
2014,10,4,54
2014,10,5,53
2014,10,6,52
2014,10,7,51
2014,10,8,48
2014,10,9,53
2014,10,10,59
2014,10,11,57
2014,10,12,55
2014,10,13,54
2014,10,14,53
2014,10,15,51
2014,10,16,48
2014,10,17,54
2014,10,18,54
2014,10,19,56
2014,10,20,55
2014,10,21,54
2014,10,22,49
2014,10,23,51
2014,10,24,49
2014,10,25,51
2014,10,26,52
2014,10,27,53
2014,10,28,60
2014,10,29,57
2014,10,30,50
2014,10,31,48
2014,11,1,45
2014,11,3,51
2014,11,4,55
2014,11,5,51
2014,11,6,48
2014,11,7,50
2014,11,8,47
2014,11,9,44
2014,11,10,53
2014,11,11,48
2014,11,12,48
2014,11,13,46
2014,11,14,48
2014,11,15,50
2014,11,16,48
2014,11,17,48
2014,11,18,52
2014,11,19,50
2014,11,20,49
2014,11,21,50
2014,11,22,55
2014,11,23,53
2014,11,24,54
2014,11,25,54
2014,11,26,53
2014,11,27,50
2014,11,28,55
2014,11,29,54
2014,11,30,50
2014,12,1,53
2014,12,2,58
2014,12,3,56
2014,12,5,58
2014,12,6,58
2014,12,7,57
2014,12,8,57
2014,12,9,58
2014,12,10,55
2014,12,11,55
2014,12,12,52
2014,12,13,61
2014,12,14,52
2014,12,15,45
2014,12,16,52
2014,12,17,47
2014,12,18,46
2014,12,19,50
2014,12,20,44
2014,12,21,49
2014,12,22,53
2014,12,23,49
2014,12,24,38
2014,12,25,37
2014,12,26,42
2014,12,27,46
2014,12,28,45
2014,12,29,53
2014,12,30,56
2014,12,31,51
2015,1,1,51
