Year,Month,Day,toolc.dd
2013,1,21,7
2013,1,22,7
2013,1,23,9
2013,1,24,8
2013,1,25,7
2013,1,26,5
2013,1,27,6
2013,1,28,8
2013,1,29,8
2013,1,30,10
2013,1,31,10
2013,2,1,9
2013,2,2,9
2013,2,3,9
2013,2,4,11
2013,2,5,10
2013,2,6,7
2013,2,7,5
2013,2,8,6
2013,2,9,8
2013,2,10,8
2013,2,11,7
2013,2,12,4
2013,2,13,5
2013,2,14,9
2013,2,15,6
2013,2,16,6
2013,2,17,7
2013,2,18,9
2013,2,19,7
2013,2,20,9
2013,2,21,9
2013,2,22,6
2013,2,23,4
2013,2,24,6
2013,2,25,6
2013,2,26,6
2013,2,27,4
2013,2,28,6
2013,3,1,7
2013,3,2,11
2013,3,3,11
2013,3,4,11
2013,3,5,7
2013,3,6,7
2013,3,7,9
2013,3,8,12
2013,3,9,11
2013,3,10,8
2013,3,11,9
2013,3,12,5
2013,3,13,8
2013,3,14,7
2013,3,15,7
2013,3,16,8
2013,3,17,9
2013,3,18,11
2013,3,19,8
2013,3,20,10
2013,3,21,10
2013,3,22,7
2013,3,23,6
2013,3,24,6
2013,3,25,7
2013,3,26,6
2013,3,27,5
2013,3,28,5
2013,3,29,8
2013,3,30,5
2013,3,31,6
2013,4,1,6
2013,4,2,5
2013,4,3,8
2013,4,4,6
2013,4,5,7
2013,4,6,5
2013,4,7,9
2013,4,8,8
2013,4,9,9
2013,4,10,10
2013,4,11,8
2013,4,12,6
2013,4,13,7
2013,4,14,5
2013,4,15,7
2013,4,16,8
2013,4,17,9
2013,4,18,8
2013,4,19,9
2013,4,20,10
2013,4,21,11
2013,4,22,12
2013,4,23,10
2013,4,24,10
2013,4,25,9
2013,4,26,7
2013,4,27,9
2013,4,28,8
2013,4,29,6
2013,4,30,6
2013,5,1,6
2013,5,2,8
2013,5,3,7
2013,5,4,4
2013,5,5,6
2013,5,6,5
2013,5,7,5
2013,5,8,9
2013,5,9,9
2013,5,10,10
2013,5,11,9
2013,5,12,9
2013,5,13,5
2013,5,14,3
2013,5,15,4
2013,5,16,4
2013,5,17,4
2013,5,18,6
2013,5,19,5
2013,5,20,3
2013,5,21,3
2013,5,22,4
2013,5,23,6
2013,5,24,9
2013,5,25,6
2013,5,26,5
2013,5,27,6
2013,5,28,9
2013,5,29,8
2013,5,30,8
2013,5,31,8
2013,6,1,7
2013,6,2,8
2013,6,3,6
2013,6,4,9
2013,6,5,12
2013,6,6,10
2013,6,7,10
2013,6,8,10
2013,6,9,10
2013,6,10,11
2013,6,11,13
2013,6,12,14
2013,6,13,13
2013,6,14,12
2013,6,15,10
2013,6,16,9
2013,6,17,8
2013,6,18,7
2013,6,19,8
2013,6,20,9
2013,6,21,10
2013,6,22,8
2013,6,23,9
2013,6,24,10
2013,6,25,11
2013,6,26,10
2013,6,27,10
2013,6,28,12
2013,6,29,12
2013,6,30,12
2013,7,1,13
2013,7,2,12
2013,7,3,10
2013,7,4,10
2013,7,5,11
2013,7,6,10
2013,7,7,11
2013,7,8,9
2013,7,9,9
2013,7,10,10
2013,7,11,11
2013,7,12,10
2013,7,13,10
2013,7,14,8
2013,7,15,9
2013,7,16,11
2013,7,17,8
2013,7,18,6
2013,7,19,5
2013,7,20,5
2013,7,21,5
2013,7,22,7
2013,7,23,7
2013,7,24,7
2013,7,25,7
2013,7,26,11
2013,7,27,14
2013,7,28,14
2013,7,29,12
2013,7,30,11
2013,7,31,10
2013,8,1,12
2013,8,2,13
2013,8,3,13
2013,8,4,13
2013,8,5,13
2013,8,6,14
2013,8,7,10
2013,8,8,9
2013,8,9,10
2013,8,10,8
2013,8,11,11
2013,8,12,11
2013,8,13,11
2013,8,14,10
2013,8,15,10
2013,8,16,8
2013,8,17,6
2013,8,18,8
2013,8,19,8
2013,8,20,9
2013,8,21,9
2013,8,22,7
2013,8,23,10
2013,8,24,11
2013,8,25,10
2013,8,26,11
2013,8,27,11
2013,8,28,13
2013,8,29,10
2013,8,30,11
2013,8,31,9
2013,9,1,11
2013,9,2,11
2013,9,3,11
2013,9,4,9
2013,9,5,10
2013,9,6,10
2013,9,7,9
2013,9,8,11
2013,9,9,12
2013,9,10,11
2013,9,11,10
2013,9,12,9
2013,9,13,9
2013,9,14,9
2013,9,15,8
2013,9,16,7
2013,9,17,10
2013,9,18,13
2013,9,19,8
2013,9,20,9
2013,9,21,9
2013,9,22,7
2013,9,23,9
2013,9,24,9
2013,9,25,10
2013,9,26,10
2013,9,27,13
2013,9,28,14
2013,9,29,16
2013,9,30,17
2013,10,1,16
2013,10,2,16
2013,10,3,15
2013,10,4,10
2013,10,5,9
2013,10,6,10
2013,10,7,10
2013,10,8,10
2013,10,9,9
2013,10,10,11
2013,10,11,13
2013,10,12,14
2013,10,13,17
2013,10,14,18
2013,10,15,16
2013,10,16,15
2013,10,17,13
2013,10,18,13
2013,10,19,14
2013,10,20,15
2013,10,21,15
2013,10,22,15
2013,10,23,18
2013,10,24,16
2013,10,25,17
2013,10,26,15
2013,10,27,14
2013,10,28,13
2013,10,29,17
2013,10,30,16
2013,10,31,15
2013,11,1,15
2013,11,2,12
2013,11,3,14
2013,11,4,15
2013,11,5,15
2013,11,6,16
2013,11,7,15
2013,11,8,12
2013,11,9,12
2013,11,10,12
2013,11,11,9
2013,11,12,9
2013,11,13,8
2013,11,14,7
2013,11,15,7
2013,11,16,7
2013,11,17,9
2013,11,18,8
2013,11,19,12
2013,11,20,17
2013,11,21,15
2013,11,22,14
2013,11,23,11
2013,11,24,10
2013,11,25,11
2013,11,26,9
2013,11,27,11
2013,11,28,13
2013,11,29,11
2013,11,30,13
2013,12,1,14
2013,12,2,13
2013,12,3,13
2013,12,4,13
2013,12,5,14
2013,12,6,11
2013,12,7,11
2013,12,8,10
2013,12,9,9
2013,12,10,12
2013,12,11,13
2013,12,12,15
2013,12,13,14
2013,12,14,13
2013,12,15,10
2013,12,16,11
2013,12,17,10
2013,12,18,13
2013,12,19,15
2013,12,20,18
2013,12,21,17
2013,12,22,15
2013,12,23,16
2013,12,24,13
2013,12,25,12
2013,12,26,13
2013,12,27,13
2013,12,28,12
2013,12,29,12
2013,12,30,14
2013,12,31,15
2014,1,1,14
2014,1,2,10
2014,1,3,12
2014,1,4,14
2014,1,5,13
2014,1,6,14
2014,1,7,15
2014,1,8,13
2014,1,9,12
2014,1,10,8
2014,1,11,9
2014,1,12,10
2014,1,13,10
2014,1,14,12
2014,1,15,10
2014,1,16,10
2014,1,17,10
2014,1,18,9
2014,1,19,12
2014,1,20,16
2014,1,21,15
2014,1,22,12
2014,1,23,12
2014,1,24,14
2014,1,25,13
2014,1,26,12
2014,1,27,10
2014,1,28,10
2014,1,29,12
2014,1,30,14
2014,1,31,15
2014,2,1,12
2014,2,2,13
2014,2,3,14
2014,2,4,14
2014,2,5,14
2014,2,6,15
2014,2,7,15
2014,2,8,17
2014,2,9,17
2014,2,10,18
2014,2,11,19
2014,2,12,20
2014,2,13,20
2014,2,14,16
2014,2,15,16
2014,2,16,14
2014,2,17,12
2014,2,18,14
2014,2,19,13
2014,2,20,15
2014,2,21,16
2014,2,22,16
2014,2,23,15
2014,2,24,16
2014,2,25,17
2014,2,26,18
2014,2,27,19
2014,2,28,15
2014,3,1,14
2014,3,2,14
2014,3,3,11
2014,3,4,13
2014,3,5,15
2014,3,6,13
2014,3,7,13
2014,3,8,13
2014,3,9,13
2014,3,10,16
2014,3,11,13
2014,3,12,14
2014,3,13,12
2014,3,14,10
2014,3,15,10
2014,3,16,13
2014,3,17,14
2014,3,18,15
2014,3,19,15
2014,3,20,15
2014,3,21,15
2014,3,22,14
2014,3,23,15
2014,3,24,15
2014,3,25,14
2014,3,26,13
2014,3,27,15
2014,3,28,15
2014,3,29,12
2014,3,30,13
2014,3,31,13
2014,4,1,15
2014,4,2,15
2014,4,3,14
2014,4,4,17
2014,4,5,17
2014,4,6,16
2014,4,7,17
2014,4,8,17
2014,4,9,14
2014,4,10,14
2014,4,11,13
2014,4,12,14
2014,4,13,14
2014,4,14,15
2014,4,15,15
2014,4,16,13
2014,4,17,17
2014,4,18,17
2014,4,19,16
2014,4,20,14
2014,4,21,10
2014,4,22,10
2014,4,23,12
2014,4,24,12
2014,4,25,9
2014,4,26,11
2014,4,27,11
2014,4,28,12
2014,4,29,10
2014,4,30,9
2014,5,1,9
2014,5,2,11
2014,5,3,11
2014,5,4,13
2014,5,5,12
2014,5,6,13
2014,5,7,12
2014,5,8,11
2014,5,9,12
2014,5,10,11
2014,5,11,13
2014,5,12,16
2014,5,13,16
2014,5,14,12
2014,5,15,13
2014,5,16,13
2014,5,17,14
2014,5,18,13
2014,5,19,14
2014,5,20,13
2014,5,21,13
2014,5,22,14
2014,5,23,12
2014,5,24,13
2014,5,25,10
2014,5,26,11
2014,5,27,14
2014,5,28,14
2014,5,29,12
2014,5,30,13
2014,5,31,15
2014,6,1,13
2014,6,2,14
2014,6,3,12
2014,6,4,12
2014,6,5,13
2014,6,6,10
2014,6,7,8
2014,6,8,9
2014,6,9,11
2014,6,10,13
2014,6,11,13
2014,6,12,11
2014,6,13,14
2014,6,14,14
2014,6,15,13
2014,6,16,14
2014,6,17,14
2014,6,18,11
2014,6,19,11
2014,6,20,12
2014,6,21,11
2014,6,22,10
2014,6,23,12
2014,6,24,9
2014,6,25,9
2014,6,26,9
2014,6,27,9
2014,6,28,10
2014,6,29,10
2014,6,30,12
2014,7,1,12
2014,7,2,10
2014,7,3,14
2014,7,4,15
2014,7,5,17
2014,7,6,17
2014,7,7,14
2014,7,8,14
2014,7,9,17
2014,7,10,18
2014,7,11,16
2014,7,12,16
2014,7,13,16
2014,7,14,18
2014,7,15,19
2014,7,16,18
2014,7,17,14
2014,7,18,12
2014,7,19,11
2014,7,20,11
2014,7,21,12
2014,7,22,11
2014,7,23,12
2014,7,24,12
2014,7,25,16
2014,7,26,16
2014,7,27,16
2014,7,28,16
2014,7,29,16
2014,7,30,16
2014,7,31,13
2014,8,1,16
2014,8,2,15
2014,8,3,16
2014,8,4,14
2014,8,5,13
2014,8,6,11
2014,8,7,12
2014,8,8,12
2014,8,9,12
2014,8,10,11
2014,8,11,11
2014,8,12,10
2014,8,13,12
2014,8,14,11
2014,8,15,13
2014,8,16,14
2014,8,17,13
2014,8,18,15
2014,8,19,15
2014,8,20,14
2014,8,21,14
2014,8,22,15
2014,8,23,15
2014,8,24,16
2014,8,25,14
2014,8,26,12
2014,8,27,13
2014,8,28,10
2014,8,29,10
2014,8,30,12
2014,8,31,13
2014,9,1,11
2014,9,2,14
2014,9,3,17
2014,9,4,17
2014,9,5,16
2014,9,6,13
2014,9,7,14
2014,9,8,12
2014,9,9,14
2014,9,10,16
2014,9,11,15
2014,9,12,14
2014,9,13,14
2014,9,14,14
2014,9,15,17
2014,9,16,13
2014,9,17,11
2014,9,18,12
2014,9,19,13
2014,9,20,12
2014,9,21,14
2014,9,22,11
2014,9,23,12
2014,9,24,15
2014,9,25,14
2014,9,26,13
2014,9,27,16
2014,9,28,18
2014,9,29,15
2014,9,30,15
2014,10,1,11
2014,10,2,11
2014,10,3,9
2014,10,4,10
2014,10,5,11
2014,10,6,12
2014,10,7,10
2014,10,8,9
2014,10,9,11
2014,10,10,13
2014,10,11,12
2014,10,12,11
2014,10,13,10
2014,10,14,10
2014,10,15,9
2014,10,16,11
2014,10,17,13
2014,10,18,10
2014,10,19,14
2014,10,20,15
2014,10,21,12
2014,10,22,13
2014,10,23,16
2014,10,24,15
2014,10,25,15
2014,10,26,16
2014,10,27,16
2014,10,28,15
2014,10,29,10
2014,10,30,8
2014,10,31,9
2014,11,1,10
2014,11,2,10
2014,11,3,10
2014,11,4,10
2014,11,5,9
2014,11,6,8
2014,11,7,8
2014,11,8,8
2014,11,9,5
2014,11,10,8
2014,11,11,10
2014,11,12,9
2014,11,13,10
2014,11,14,8
2014,11,15,10
2014,11,16,9
2014,11,17,8
2014,11,18,9
2014,11,19,10
2014,11,20,7
2014,11,21,8
2014,11,22,13
2014,11,23,15
2014,11,24,11
2014,11,25,10
2014,11,26,9
2014,11,27,13
2014,11,28,14
2014,11,29,15
2014,11,30,14
2014,12,1,12
2014,12,2,13
2014,12,3,12
2014,12,4,12
2014,12,5,13
2014,12,6,12
2014,12,7,11
2014,12,8,10
2014,12,9,12
2014,12,10,12
2014,12,11,13
2014,12,12,11
2014,12,13,12
2014,12,14,9
2014,12,15,10
2014,12,16,11
2014,12,17,9
2014,12,18,8
2014,12,19,12
2014,12,20,14
2014,12,21,15
2014,12,22,13
2014,12,23,13
2014,12,24,13
2014,12,25,9
2014,12,26,9
2014,12,27,8
2014,12,28,9
2014,12,29,10
2014,12,30,9
2014,12,31,8
2015,1,1,7
2015,1,2,8
2015,1,3,9
2015,1,4,10
2015,1,5,10
2015,1,6,9
2015,1,7,11
2015,1,8,10
2015,1,9,10
2015,1,10,9
2015,1,11,8
2015,1,12,6
2015,1,13,7
2015,1,14,10
2015,1,15,12
2015,1,16,12
2015,1,17,10
2015,1,18,9
2015,1,19,10
2015,1,20,13
2015,1,21,14
2015,1,22,10
2015,1,23,9
2015,1,24,10
2015,1,25,7
2015,1,26,9
2015,1,27,11
2015,1,28,8
2015,1,29,7
2015,1,30,10
2015,1,31,10
2015,2,1,9
2015,2,2,8
2015,2,3,8
2015,2,4,10
2015,2,5,10
2015,2,6,11
2015,2,7,10
2015,2,8,11
2015,2,9,7
2015,2,10,6
2015,2,11,8
2015,2,12,9
2015,2,13,7
2015,2,14,6
2015,2,15,7
2015,2,16,7
2015,2,17,7
2015,2,18,6
2015,2,19,9
2015,2,20,9
2015,2,21,9
2015,2,22,9
2015,2,23,9
2015,2,24,8
2015,2,25,7
2015,2,26,5
2015,2,27,3
2015,2,28,4
2015,3,1,6
2015,3,2,5
2015,3,3,7
2015,3,4,10
2015,3,5,9
2015,3,6,6
2015,3,7,7
2015,3,8,7
2015,3,9,8
2015,3,10,8
2015,3,11,6
2015,3,12,8
2015,3,13,9
2015,3,14,9
2015,3,15,9
2015,3,16,9
2015,3,17,7
2015,3,18,8
2015,3,19,8
2015,3,20,7
2015,3,21,4
2015,3,22,6
2015,3,23,5
2015,3,24,4
2015,3,25,4
2015,3,26,4
2015,3,27,4
2015,3,28,3
2015,3,29,3
2015,3,30,3
2015,3,31,5
2015,4,1,4
2015,4,2,4
2015,4,3,2
2015,4,4,2
2015,4,5,2
2015,4,6,3
2015,4,7,5
2015,4,8,5
2015,4,9,3
2015,4,10,4
2015,4,11,5
2015,4,12,5
2015,4,13,4
2015,4,14,3
2015,4,15,6
2015,4,16,9
2015,4,17,12
2015,4,18,11
2015,4,19,5
2015,4,20,6
2015,4,21,6
2015,4,22,5
2015,4,23,6
2015,4,24,6
2015,4,25,7
2015,4,26,6
2015,4,27,7
2015,4,28,6
2015,4,29,5
2015,4,30,5
2015,5,1,7
2015,5,2,8
2015,5,3,10
2015,5,4,7
2015,5,5,7
2015,5,6,8
2015,5,7,7
2015,5,8,8
2015,5,9,9
2015,5,10,9
2015,5,11,6
2015,5,12,6
2015,5,13,5
2015,5,14,4
2015,5,15,5
2015,5,16,6
2015,5,17,4
2015,5,18,5
2015,5,19,4
2015,5,20,4
2015,5,21,3
2015,5,22,4
2015,5,23,4
2015,5,24,3
2015,5,25,1
2015,5,26,2
2015,5,27,3
2015,5,28,2
2015,5,29,2
2015,5,30,2
2015,5,31,3
2015,6,1,3
2015,6,2,2
2015,6,3,3
