Year,Month,Day,toolc.dd
2016,3,28,0
2016,3,29,0
2016,3,30,0
2016,3,31,0
2016,4,1,2
2016,4,2,2
2016,4,3,1
2016,4,4,1
2016,4,5,2
2016,4,6,3
2016,4,7,4
2016,4,8,6
2016,4,9,6
2016,4,10,6
2016,4,11,7
2016,4,12,6
2016,4,13,5
2016,4,14,4
2016,4,15,3
2016,4,16,2
2016,4,17,2
2016,4,18,4
2016,4,19,3
2016,4,20,3
2016,4,21,2
2016,4,22,2
2016,4,23,2
2016,4,24,2
2016,4,25,2
2016,4,26,2
2016,4,27,1
2016,4,28,2
2016,4,29,2
2016,4,30,2
2016,5,1,1
2016,5,2,1
2016,5,3,1
2016,5,4,2
2016,5,5,3
2016,5,6,3
2016,5,7,1
2016,5,8,0
2016,5,9,0
2016,5,10,0
2016,5,11,2
2016,5,12,3
2016,5,13,3
2016,5,14,2
2016,5,15,2
2016,5,16,2
2016,5,17,0
2016,5,18,0
2016,5,19,0
2016,5,20,1
2016,5,21,1
2016,5,22,0
2016,5,23,1
2016,5,24,1
2016,5,25,2
2016,5,26,2
2016,5,27,1
2016,5,28,2
2016,5,29,2
2016,5,30,2
2016,5,31,2
2016,6,1,2
2016,6,2,2
2016,6,3,1
2016,6,4,1
2016,6,5,2
2016,6,6,2
2016,6,7,1
2016,6,8,1
2016,6,9,4
2016,6,10,4
2016,6,11,5
2016,6,12,3
2016,6,13,2
2016,6,14,2
2016,6,15,2
2016,6,16,3
2016,6,17,2
2016,6,18,2
2016,6,19,3
2016,6,20,3
2016,6,21,3
2016,6,22,3
2016,6,23,3
2016,6,24,3
2016,6,25,4
2016,6,26,3
2016,6,27,4
2016,6,28,1
2016,6,29,0
2016,6,30,2
2016,7,1,3
2016,7,2,3
2016,7,3,3
2016,7,4,3
2016,7,5,1
2016,7,6,0
2016,7,7,0
2016,7,8,1
2016,7,9,1
2016,7,10,1
2016,7,11,2
2016,7,12,2
2016,7,13,4
2016,7,14,4
2016,7,15,4
2016,7,16,6
2016,7,17,6
2016,7,18,5
2016,7,19,4
2016,7,20,6
2016,7,21,2
2016,7,22,2
2016,7,23,1
2016,7,24,4
2016,7,25,4
2016,7,26,2
2016,7,27,5
2016,7,28,6
2016,7,29,7
2016,7,30,8
2016,7,31,6
2016,8,1,5
2016,8,2,5
2016,8,3,5
2016,8,4,5
2016,8,5,6
2016,8,6,6
2016,8,7,7
2016,8,8,7
2016,8,9,6
2016,8,10,4
2016,8,11,3
